step,rz,Epot,Epot00,prob_atom_crd[2],prob_atom_fz,prob_atom_fz_integral,n_steps_of_optimization,BondedTermsEnergy,NonBondedTermsEnergy,BondStretchEnergy,AngleStretchEnergy,TorsionEnergy,OutOfPlaneEnergy,DispersionEnergy,ElectrostaticEnergy
78,0.445983,-3341.13,0.0827535,0.37208,0.234264,-10.7552,100,-4207.24,866.11,641.298,1134.44,-6432.86,449.875,1139.43,-273.322
79,0.459295,-3341.02,0.194519,0.385369,0.253758,-10.5112,100,-4207.68,866.662,641.916,1134.54,-6433.46,449.326,1140.33,-273.666
80,0.472589,-3341.04,0.171066,0.398657,0.722107,-10.0233,100,-4207.19,866.141,641.342,1134.46,-6432.85,449.871,1139.45,-273.311
81,0.485872,-3341.19,0.0219439,0.411946,0.0143374,-9.65503,100,-4206.84,865.649,640.62,1134.75,-6432.59,450.378,1138.61,-272.964
82,0.49913,-3341.09,0.122271,0.425235,1.33853,-8.9786,100,-4207.24,866.15,641.3,1134.47,-6432.88,449.87,1139.47,-273.32
83,0.512449,-3340.93,0.284911,0.438523,-0.199285,-8.40898,100,-4207.06,866.132,642.116,1134.39,-6432.79,449.218,1139.66,-273.531
84,0.525731,-3341.18,0.03632,0.451812,0.538633,-8.23931,100,-4207.22,866.037,641.365,1134.43,-6432.87,449.86,1139.34,-273.308
85,0.539025,-3341.2,0.0126863,0.4651,0.29656,-7.82171,100,-4207.91,866.706,639.465,1135,-6432.75,450.372,1139.79,-273.088
86,0.552274,-3341,0.219202,0.478389,-0.724211,-8.03554,100,-4207.22,866.225,641.374,1134.45,-6432.9,449.857,1139.56,-273.335
87,0.565604,-3340.94,0.277858,0.491677,0.501569,-8.14686,100,-4207.21,866.269,642.358,1133.93,-6432.91,449.412,1139.55,-273.283
88,0.578903,-3340.93,0.286864,0.504966,0.0992835,-7.84643,100,-4207.2,866.271,641.4,1134.44,-6432.89,449.857,1139.6,-273.325
