step,rz,Epot,Epot00,prob_atom_crd[2],prob_atom_fz,prob_atom_fz_integral,n_steps_of_optimization,BondedTermsEnergy,NonBondedTermsEnergy,BondStretchEnergy,AngleStretchEnergy,TorsionEnergy,OutOfPlaneEnergy,DispersionEnergy,ElectrostaticEnergy
83,-0.364597,-3341.08,0.135131,-0.438523,1.65713,5.70457,100,-4207.53,866.448,641.47,1134.69,-6433.14,449.446,1140.02,-273.574
84,-0.377874,-3341.04,0.180817,-0.451812,1.34377,7.20502,100,-4207.18,866.144,641.392,1134.39,-6432.86,449.895,1139.44,-273.292
85,-0.391178,-3341.18,0.0378884,-0.4651,1.17138,8.46259,100,-4208.28,867.104,639.678,1135.55,-6433.36,449.851,1140.49,-273.385
86,-0.404444,-3340.93,0.289816,-0.478389,0.822693,9.45963,100,-4207.2,866.277,641.447,1134.36,-6432.88,449.872,1139.6,-273.319
87,-0.417754,-3341.08,0.131885,-0.491677,0.874795,10.3084,100,-4207.98,866.896,640.228,1134.7,-6432.9,449.997,1140.13,-273.237
88,-0.43102,-3340.9,0.314555,-0.504966,1.05282,11.2722,100,-4207.18,866.282,641.47,1134.36,-6432.89,449.869,1139.61,-273.327
89,-0.444332,-3340.83,0.38498,-0.518255,0.249687,11.9234,100,-4207.02,866.191,640.432,1135.01,-6432.71,450.253,1139.12,-272.925
90,-0.4576,-3340.74,0.477662,-0.531543,0.225917,12.1612,100,-4207.22,866.484,641.467,1134.35,-6432.9,449.857,1139.83,-273.343
91,-0.470909,-3340.72,0.496873,-0.544832,-0.452852,12.0478,100,-4207.12,866.396,641.507,1134.48,-6432.96,449.856,1139.77,-273.377
92,-0.484181,-3340.74,0.47481,-0.55812,-1.74846,10.9471,100,-4207.21,866.47,641.458,1134.37,-6432.9,449.864,1139.81,-273.337
93,-0.497486,-3340.65,0.56326,-0.571409,-0.612138,9.76681,100,-4205.52,864.868,643.78,1133.6,-6432.64,449.739,1138.34,-273.469
94,-0.510876,-3340.78,0.437171,-0.584698,-1.08266,8.91941,100,-4207.2,866.424,641.451,1134.38,-6432.9,449.868,1139.75,-273.331
95,-0.524062,-3340.86,0.354892,-0.597986,-1.12776,7.8142,100,-4207.11,866.249,641.41,1134.65,-6433,449.826,1139.68,-273.428
96,-0.53732,-3340.8,0.417522,-0.611275,-0.386872,7.05688,100,-4207.21,866.414,641.444,1134.39,-6432.91,449.863,1139.75,-273.335
97,-0.55064,-3340.9,0.315129,-0.624563,-0.976692,6.3751,100,-4207.51,866.606,641.056,1134.51,-6432.95,449.878,1139.75,-273.143
98,-0.563969,-3340.99,0.225782,-0.637852,-1.07863,5.34744,100,-4207.2,866.212,641.443,1134.4,-6432.91,449.862,1139.55,-273.333
99,-0.577216,-3341.03,0.187732,-0.65114,-0.783559,4.41634,100,-4206.98,865.956,641.078,1134.58,-6432.72,450.072,1139.39,-273.434
