step	T	Epot	Efull	E_solute	E_solvent	E_solusolv	NThrouZ	NThrouZmin	NThrouZmax	
2170	204.014	-523.862	-355.931	-523.862	0	0	0	0	0	
2180	193.813	-511.209	-351.675	-511.209	0	0	0	0	0	
2190	174.779	-491.068	-347.201	-491.068	0	0	0	0	0	
2200	169.824	-481.81	-342.022	-481.81	0	0	0	0	0	
2210	182.052	-486.956	-337.103	-486.956	0	0	0	0	0	
2220	203.581	-500.016	-332.441	-500.016	0	0	0	0	0	
2230	232.752	-520.503	-328.916	-520.503	0	0	0	0	0	
2240	271.44	-550.241	-326.809	-550.241	0	0	0	0	0	
2250	283.184	-558.842	-325.743	-558.842	0	0	0	0	0	
2260	289.169	-563.127	-325.102	-563.127	0	0	0	0	0	
2270	291.85	-565.031	-324.799	-565.031	0	0	0	0	0	
2280	303.319	-574.688	-325.016	-574.688	0	0	0	0	0	
2290	324.756	-592.756	-325.437	-592.756	0	0	0	0	0	
2300	349.454	-614.64	-326.992	-614.64	0	0	0	0	0	
2310	368.098	-632.451	-329.456	-632.451	0	0	0	0	0	
2320	359.023	-627.857	-332.332	-627.857	0	0	0	0	0	
2330	347.948	-621.068	-334.659	-621.068	0	0	0	0	0	
2340	346.196	-621.578	-336.612	-621.578	0	0	0	0	0	
2350	353.528	-629.49	-338.488	-629.49	0	0	0	0	0	
2360	368.86	-644.589	-340.967	-644.589	0	0	0	0	0	
2370	375.922	-653.409	-343.974	-653.409	0	0	0	0	0	
2380	369.38	-650.947	-346.897	-650.947	0	0	0	0	0	
2390	367.718	-652.614	-349.932	-652.614	0	0	0	0	0	
2400	363.975	-652.049	-352.448	-652.049	0	0	0	0	0	
2410	354.012	-646.442	-355.042	-646.442	0	0	0	0	0	
2420	349.061	-644.439	-357.114	-644.439	0	0	0	0	0	
2430	339.26	-637.857	-358.6	-637.857	0	0	0	0	0	
2440	344.59	-643.967	-360.322	-643.967	0	0	0	0	0	
2450	349.905	-650.334	-362.314	-650.334	0	0	0	0	0	
2460	336.946	-641.639	-364.286	-641.639	0	0	0	0	0	
2470	308.929	-619.509	-365.218	-619.509	0	0	0	0	0	
2480	284.381	-599.215	-365.13	-599.215	0	0	0	0	0	
2490	273.21	-589.114	-364.225	-589.114	0	0	0	0	0	
2500	263.793	-580.037	-362.9	-580.037	0	0	0	0	0	
2510	238.774	-557.479	-360.935	-557.479	0	0	0	0	0	
2520	214.05	-534.095	-357.902	-534.095	0	0	0	0	0	
2530	222.933	-537.935	-354.431	-537.935	0	0	0	0	0	
2540	224.788	-536.1	-351.069	-536.1	0	0	0	0	0	
2550	229.035	-536.522	-347.994	-536.522	0	0	0	0	0	
2560	239.813	-542.627	-345.228	-542.627	0	0	0	0	0	
2570	247.496	-546.68	-342.957	-546.68	0	0	0	0	0	
2580	264.989	-559.201	-341.079	-559.201	0	0	0	0	0	
2590	286.116	-575.7	-340.188	-575.7	0	0	0	0	0	
2600	300.619	-587.253	-339.802	-587.253	0	0	0	0	0	
2610	326.45	-609.208	-340.495	-609.208	0	0	0	0	0	
2620	337.762	-620.077	-342.052	-620.077	0	0	0	0	0	
2630	314.033	-601.789	-343.298	-601.789	0	0	0	0	0	
2640	289.17	-581.614	-343.587	-581.614	0	0	0	0	0	
2650	266.563	-562.169	-342.751	-562.169	0	0	0	0	0	
2660	273.226	-566.357	-341.455	-566.357	0	0	0	0	0	
2670	288.074	-577.664	-340.54	-577.664	0	0	0	0	0	
2680	298.768	-586.221	-340.295	-586.221	0	0	0	0	0	
2690	320.034	-603.765	-340.333	-603.765	0	0	0	0	0	
2700	348.235	-628.436	-341.79	-628.436	0	0	0	0	0	
2710	360.82	-641.122	-344.117	-641.122	0	0	0	0	0	
2720	337.146	-623.891	-346.374	-623.891	0	0	0	0	0	
2730	310.804	-603.21	-347.376	-603.21	0	0	0	0	0	
2740	283.758	-580.885	-347.313	-580.885	0	0	0	0	0	
2750	271.94	-570.36	-346.517	-570.36	0	0	0	0	0	
2760	251.07	-551.491	-344.827	-551.491	0	0	0	0	0	
2770	228.243	-530.065	-342.19	-530.065	0	0	0	0	0	
2780	239.803	-536.687	-339.296	-536.687	0	0	0	0	0	
2790	272.006	-561.37	-337.472	-561.37	0	0	0	0	0	
2800	314.803	-596.007	-336.882	-596.007	0	0	0	0	0	
2810	356.349	-631.749	-338.426	-631.749	0	0	0	0	0	
2820	371.217	-646.778	-341.216	-646.778	0	0	0	0	0	
2830	354.988	-635.8	-343.596	-635.8	0	0	0	0	0	
2840	340.224	-625.802	-345.751	-625.802	0	0	0	0	0	
2850	313.598	-605.061	-346.927	-605.061	0	0	0	0	0	
2860	312.829	-604.987	-347.486	-604.987	0	0	0	0	0	
2870	335.545	-624.772	-348.572	-624.772	0	0	0	0	0	
2880	346.679	-635.804	-350.44	-635.804	0	0	0	0	0	
2890	341.147	-632.874	-352.064	-632.874	0	0	0	0	0	
2900	335.932	-630.37	-353.852	-630.37	0	0	0	0	0	
2910	325.111	-622.406	-354.795	-622.406	0	0	0	0	0	
2920	302.572	-604.475	-355.417	-604.475	0	0	0	0	0	
2930	283.716	-588.596	-355.059	-588.596	0	0	0	0	0	
2940	256.943	-565.2	-353.7	-565.2	0	0	0	0	0	
2950	252.346	-559.605	-351.89	-559.605	0	0	0	0	0	
2960	248.508	-554.375	-349.819	-554.375	0	0	0	0	0	
2970	228.663	-535.431	-347.21	-535.431	0	0	0	0	0	
2980	221.422	-526.299	-344.038	-526.299	0	0	0	0	0	
2990	227.588	-528.243	-340.907	-528.243	0	0	0	0	0	
3000	242.597	-537.841	-338.15	-537.841	0	0	0	0	0	
3010	245.173	-537.658	-335.847	-537.658	0	0	0	0	0	
3020	257.222	-545.651	-333.922	-545.651	0	0	0	0	0	
3030	276.738	-560.433	-332.64	-560.433	0	0	0	0	0	
3040	324.848	-600.137	-332.743	-600.137	0	0	0	0	0	
3050	364.278	-634.487	-334.636	-634.487	0	0	0	0	0	
3060	361.414	-634.825	-337.333	-634.825	0	0	0	0	0	
3070	348.401	-626.322	-339.54	-626.322	0	0	0	0	0	
3080	339.164	-620.655	-341.477	-620.655	0	0	0	0	0	
3090	340.676	-623.43	-343.007	-623.43	0	0	0	0	0	
3100	340.771	-625.151	-344.65	-625.151	0	0	0	0	0	
3110	342.209	-628.123	-346.438	-628.123	0	0	0	0	0	
3120	328.701	-618.503	-347.937	-618.503	0	0	0	0	0	
3130	335.219	-625.11	-349.179	-625.11	0	0	0	0	0	
3140	341.871	-632.311	-350.905	-632.311	0	0	0	0	0	
3150	354.794	-644.924	-352.88	-644.924	0	0	0	0	0	
3160	355.815	-647.922	-355.038	-647.922	0	0	0	0	0	
3170	329.926	-628.524	-356.95	-628.524	0	0	0	0	0	
3180	300.227	-604.751	-357.624	-604.751	0	0	0	0	0	
3190	277.397	-585.599	-357.263	-585.599	0	0	0	0	0	
3200	263.996	-573.444	-356.139	-573.444	0	0	0	0	0	
3210	228.663	-542.187	-353.967	-542.187	0	0	0	0	0	
3220	223.492	-534.882	-350.917	-534.882	0	0	0	0	0	
3230	241.81	-546.976	-347.933	-546.976	0	0	0	0	0	
3240	264.953	-564.00
