step,T,Epot,Efull,SolventMolsThroughZ,
2.18e-012,291.855,-9509.64,-5480.22,0,
2.185e-012,288.059,-9451.85,-5474.83,0,
2.19e-012,294.306,-9534.11,-5470.84,0,
2.195e-012,298.277,-9587.26,-5469.17,0,
2.2e-012,297.705,-9578,-5467.81,0,
2.205e-012,293.727,-9520.12,-5464.85,0,
2.21e-012,294.041,-9520.38,-5460.77,0,
2.215e-012,292.175,-9489.71,-5455.87,0,
2.22e-012,291.268,-9471.28,-5449.97,0,
2.225e-012,295.597,-9526.54,-5445.45,0,
2.23e-012,296.574,-9537.85,-5443.27,0,
2.235e-012,297.297,-9545.35,-5440.8,0,
2.24e-012,299.444,-9575.42,-5441.23,0,
2.245e-012,297.361,-9548.51,-5443.07,0,
2.25e-012,302.027,-9619.2,-5449.35,0,
2.255e-012,300.621,-9606.68,-5456.24,0,
2.26e-012,289.097,-9444.66,-5453.32,0,
2.265e-012,291.667,-9473.76,-5446.93,0,
2.27e-012,291.937,-9474.96,-5444.4,0,
2.275e-012,294.742,-9509.5,-5440.21,0,
2.28e-012,298.445,-9560.39,-5439.98,0,
2.285e-012,298.128,-9554.69,-5438.66,0,
2.29e-012,299.379,-9571.89,-5438.58,0,
2.295e-012,299.145,-9567.75,-5437.68,0,
2.3e-012,300.754,-9590.17,-5437.88,0,
2.305e-012,298.209,-9555.95,-5438.81,0,
2.31e-012,293.175,-9483.63,-5435.99,0,
2.315e-012,291.836,-9459.3,-5430.15,0,
2.32e-012,298.179,-9543.65,-5426.93,0,
2.325e-012,302.448,-9603.11,-5427.43,0,
2.33e-012,298.831,-9555.27,-5429.54,0,
2.335e-012,294.942,-9499.7,-5427.67,0,
2.34e-012,305.58,-9647.68,-5428.76,0,
2.345e-012,304.145,-9632.79,-5433.69,0,
2.35e-012,298.062,-9553.79,-5438.67,0,
2.355e-012,291.102,-9455.49,-5436.47,0,
2.36e-012,296.839,-9533.36,-5435.13,0,
2.365e-012,297.401,-9543.68,-5437.68,0,
2.37e-012,293.633,-9490.08,-5436.11,0,
2.375e-012,293.902,-9489.88,-5432.2,0,
2.38e-012,299.642,-9567.63,-5430.7,0,
2.385e-012,301.024,-9589.57,-5433.56,0,
2.39e-012,300.767,-9587.76,-5435.3,0,
2.395e-012,309.301,-9709.75,-5439.47,0,
2.4e-012,314.325,-9788.42,-5448.77,0,
2.405e-012,305.084,-9669.45,-5457.39,0,
2.41e-012,296.205,-9548.91,-5459.43,0,
2.415e-012,294.309,-9520.06,-5456.76,0,
2.42e-012,291.184,-9471.82,-5451.66,0,
2.425e-012,290.091,-9450.21,-5445.15,0,
2.43e-012,294.968,-9512.19,-5439.79,0,
2.435e-012,295.312,-9514.84,-5437.69,0,
2.44e-012,285.236,-9369.09,-5431.06,0,
2.445e-012,288.249,-9402.47,-5422.83,0,
2.45e-012,296.207,-9507.52,-5418.01,0,
2.455e-012,292.697,-9455.4,-5414.36,0,
2.46e-012,296.004,-9497.66,-5410.95,0,
2.465e-012,294.5,-9474.67,-5408.74,0,
2.47e-012,293.851,-9461.76,-5404.77,0,
2.475e-012,298.527,-9524.31,-5402.77,0,
2.48e-012,297.262,-9506.07,-5402,0,
2.485e-012,293.663,-9453.68,-5399.29,0,
2.49e-012,289.304,-9387.71,-5393.51,0,
2.495e-012,290.523,-9397.42,-5386.39,0,
2.5e-012,292.477,-9418.64,-5380.63,0,
2.505e-012,293.182,-9426.52,-5378.78,0,
2.51e-012,297.307,-9483.84,-5379.15,0,
2.515e-012,298.369,-9501.82,-5382.47,0,
2.52e-012,299.437,-9518.21,-5384.11,0,
2.525e-012,306.062,-9614.07,-5388.5,0,
2.53e-012,304.294,-9597.31,-5396.15,0,
2.535e-012,308.455,-9662.96,-5404.36,0,
2.54e-012,306.665,-9648.96,-5415.07,0,
2.545e-012,299.027,-9547.57,-5419.14,0,
2.55e-012,295.059,-9491.35,-5417.69,0,
2.555e-012,295.358,-9493.38,-5415.59,0,
2.56e-012,300.268,-9561.26,-5415.69,0,
2.565e-012,300.406,-9564.35,-5416.87,0,
2.57e-012,301.05,-9576.14,-5419.76,0,
2.575e-012,300.966,-9578.57,-5423.36,0,
2.58e-012,297.717,-9533.02,-5422.67,0,
2.585e-012,299.052,-9550.89,-5422.1,0,
2.59e-012,299.992,-9565.68,-5423.92,0,
2.595e-012,296.187,-9512.55,-5423.31,0,
2.6e-012,289.364,-9413.21,-5418.17,0,
2.605e-012,291.362,-9433.9,-5411.28,0,
2.61e-012,297.337,-9513.48,-5408.37,0,
2.615e-012,298.101,-9524.57,-5408.91,0,
2.62e-012,297.761,-9519.18,-5408.22,0,
2.625e-012,299.846,-9547.98,-5408.23,0,
2.63e-012,300.603,-9557.93,-5407.73,0,
2.635e-012,298.141,-9524.42,-5408.22,0,
2.64e-012,294.969,-9478.88,-5406.47,0,
2.645e-012,295.332,-9482.43,-5405,0,
2.65e-012,299.55,-9542.26,-5406.61,0,
