step,T,Epot,Efull,SolventMolsThroughZ,
9.9e-013,113.061,-12274.7,-10713.7,0,
9.95e-013,113.087,-12270.8,-10709.5,0,
1e-012,113.059,-12266.1,-10705.2,0,
1.005e-012,115.12,-12263.9,-10674.5,0,
1.01e-012,116.732,-12265.1,-10653.5,0,
1.015e-012,117.902,-12267.4,-10639.6,0,
1.02e-012,118.696,-12269.6,-10630.9,0,
1.025e-012,119.189,-12271,-10625.4,0,
1.03e-012,119.488,-12271.8,-10622.1,0,
1.035e-012,119.72,-12272.8,-10619.9,0,
1.04e-012,119.766,-12272.3,-10618.8,0,
1.045e-012,119.479,-12266.6,-10617,0,
1.05e-012,118.99,-12256,-10613.2,0,
1.055e-012,120.464,-12243.8,-10580.7,0,
1.06e-012,121.328,-12229.4,-10554.3,0,
1.065e-012,121.683,-12211.1,-10531.1,0,
1.07e-012,121.707,-12189.2,-10508.9,0,
1.075e-012,121.696,-12166.8,-10486.6,0,
1.08e-012,121.981,-12148.9,-10464.8,0,
1.085e-012,122.569,-12137.6,-10445.3,0,
1.09e-012,123.38,-12132.8,-10429.4,0,
1.095e-012,124.37,-12135.1,-10418,0,
1.1e-012,125.729,-12148.5,-10412.7,0,
1.105e-012,128.878,-12167.4,-10388.1,0,
1.11e-012,130.838,-12183.4,-10377,0,
1.115e-012,131.761,-12192.7,-10373.6,0,
1.12e-012,132.031,-12195.9,-10373,0,
1.125e-012,132.309,-12200.5,-10373.8,0,
1.13e-012,132.699,-12208.3,-10376.2,0,
1.135e-012,133.06,-12217.8,-10380.7,0,
1.14e-012,133.272,-12226.8,-10386.8,0,
1.145e-012,133.268,-12233.3,-10393.4,0,
1.15e-012,133.097,-12237.2,-10399.6,0,
1.155e-012,134.541,-12235.6,-10378.1,0,
1.16e-012,134.794,-12222.2,-10361.2,0,
1.165e-012,134.362,-12198.8,-10343.7,0,
1.17e-012,134.117,-12175.8,-10324.2,0,
1.175e-012,134.181,-12156.7,-10304.1,0,
1.18e-012,134.203,-12137.4,-10284.5,0,
1.185e-012,133.954,-12113.8,-10264.4,0,
1.19e-012,133.788,-12090,-10242.9,0,
1.195e-012,133.967,-12070.9,-10221.3,0,
1.2e-012,134.877,-12064.4,-10202.2,0,
1.205e-012,138.007,-12068.1,-10162.7,0,
1.21e-012,140.169,-12072.4,-10137.2,0,
1.215e-012,141.584,-12075.6,-10120.8,0,
1.22e-012,142.635,-12080.1,-10110.9,0,
1.225e-012,143.474,-12086.8,-10105.9,0,
1.23e-012,143.943,-12091.7,-10104.4,0,
1.235e-012,144.295,-12097.1,-10104.9,0,
1.24e-012,144.889,-12108.1,-10107.8,0,
1.245e-012,145.502,-12122.7,-10113.9,0,
1.25e-012,145.78,-12135.2,-10122.5,0,
1.255e-012,147.397,-12140,-10105,0,
1.26e-012,148.216,-12139.8,-10093.5,0,
1.265e-012,148.865,-12141.2,-10085.9,0,
1.27e-012,149.08,-12138.9,-10080.7,0,
1.275e-012,148.825,-12130.3,-10075.5,0,
1.28e-012,148.153,-12113.4,-10068,0,
1.285e-012,147.748,-12096.9,-10057.1,0,
1.29e-012,148.362,-12094.8,-10046.5,0,
1.295e-012,149.296,-12101.5,-10040.3,0,
1.3e-012,149.648,-12103.8,-10037.7,0,
1.305e-012,151.23,-12097,-10009.1,0,
1.31e-012,151.815,-12082.1,-9986.07,0,
1.315e-012,151.795,-12060.3,-9964.56,0,
1.32e-012,151.519,-12034.1,-9942.17,0,
1.325e-012,151.392,-12008.6,-9918.47,0,
1.33e-012,151.958,-11993.6,-9895.59,0,
1.335e-012,153.301,-11994,-9877.46,0,
