frame(num),distance (nm)
818.000000,-1.120540
819.000000,-1.119064
820.000000,-1.127627
821.000000,-1.119853
822.000000,-1.112899
823.000000,-1.132119
824.000000,-1.122224
825.000000,-1.109355
826.000000,-1.113848
827.000000,-1.112606
828.000000,-1.112374
829.000000,-1.106361
830.000000,-1.111369
831.000000,-1.103426
832.000000,-1.102249
833.000000,-1.099505
834.000000,-1.106878
835.000000,-1.105268
836.000000,-1.106734
837.000000,-1.112158
838.000000,-1.102985
839.000000,-1.094385
840.000000,-1.099950
841.000000,-1.090196
842.000000,-1.089215
843.000000,-1.091544
844.000000,-1.079474
845.000000,-1.090981
846.000000,-1.092341
847.000000,-1.090185
848.000000,-1.086347
849.000000,-1.094404
850.000000,-1.091274
851.000000,-1.093727
852.000000,-1.091955
853.000000,-1.089586
854.000000,-1.087923
855.000000,-1.085232
856.000000,-1.092943
857.000000,-1.089427
858.000000,-1.089282
859.000000,-1.078868
860.000000,-1.079303
861.000000,-1.075715
862.000000,-1.077465
863.000000,-1.072662
864.000000,-1.078938
865.000000,-1.076669
866.000000,-1.079853
867.000000,-1.068707
868.000000,-1.077659
869.000000,-1.074452
870.000000,-1.089104
871.000000,-1.086951
872.000000,-1.070363
873.000000,-1.075633
874.000000,-1.080107
875.000000,-1.081395
876.000000,-1.084161
877.000000,-1.086566
878.000000,-1.085600
879.000000,-1.083910
880.000000,-1.084520
881.000000,-1.085437
882.000000,-1.084233
883.000000,-1.077215
884.000000,-1.075295
885.000000,-1.078216
886.000000,-1.070313
887.000000,-1.071774
888.000000,-1.079099
889.000000,-1.075980
890.000000,-1.084627
891.000000,-1.084769
892.000000,-1.086554
893.000000,-1.087425
894.000000,-1.072284
895.000000,-1.073578
896.000000,-1.065186
897.000000,-1.061689
898.000000,-1.066240
899.000000,-1.060953
900.000000,-1.080756
901.000000,-1.078323
902.000000,-1.070344
903.000000,-1.077597
904.000000,-1.075426
905.000000,-1.063394
906.000000,-1.060246
907.000000,-1.054684
908.000000,-1.062658
909.000000,-1.064124
910.000000,-1.069598
911.000000,-1.074553
912.000000,-1.079345
913.000000,-1.067966
914.000000,-1.075744
915.000000,-1.077523
916.000000,-1.085395
917.000000,-1.084608
918.000000,-1.087728
919.000000,-1.070260
920.000000,-1.073429
921.000000,-1.071316
922.000000,-1.074906
923.000000,-1.082722
924.000000,-1.082603
925.000000,-1.073314
926.000000,-1.081210
927.000000,-1.081482
928.000000,-1.087656
929.000000,-1.075238
930.000000,-1.083698
931.000000,-1.070324
932.000000,-1.060904
933.000000,-1.071452
934.000000,-1.073598
935.000000,-1.079143
936.000000,-1.083326
937.000000,-1.093694
938.000000,-1.087364
939.000000,-1.087501
940.000000,-1.087908
941.000000,-1.089353
942.000000,-1.081972
943.000000,-1.097975
944.000000,-1.097900
945.000000,-1.101480
946.000000,-1.097646
947.000000,-1.095384
948.000000,-1.102891
949.000000,-1.105254
950.000000,-1.108862
951.000000,-1.102986
952.000000,-1.107259
953.000000,-1.102784
954.000000,-1.106904
955.000000,-1.109087
956.000000,-1.098998
957.000000,-1.102487
958.000000,-1.094445
959.000000,-1.093789
960.000000,-1.094126
961.000000,-1.099377
962.000000,-1.103834
963.000000,-1.102475
964.000000,-1.102995
965.000000,-1.101160
966.000000,-1.094620
967.000000,-1.101357
968.000000,-1.100342
969.000000,-1.099598
970.000000,-1.102318
971.000000,-1.105110
972.000000,-1.097561
973.000000,-1.112778
974.000000,-1.116801
975.000000,-1.103429
976.000000,-1.118416
977.000000,-1.116348
978.000000,-1.114123
979.000000,-1.113726
980.000000,-1.118600
981.000000,-1.114014
982.000000,-1.111405
983.000000,-1.125907
984.000000,-1.117999
985.000000,-1.131510
986.000000,-1.134919
987.000000,-1.131240
988.000000,-1.123281
989.000000,-1.125405
990.000000,-1.123781
991.000000,-1.111028
992.000000,-1.122241
993.000000,-1.129606
994.000000,-1.135021
995.000000,-1.136144
996.000000,-1.150564
997.000000,-1.145834
998.000000,-1.150038
999.000000,-1.146871
1000.000000,-1.145834
1001.000000,-1.125918
1002.000000,-1.133671
1003.000000,-1.135860
1004.000000,-1.128775
1005.000000,-1.133738
1006.000000,-1.139379
1007.000000,-1.127512
1008.000000,-1.127060
1009.000000,-1.134320
1010.000000,-1.137085
1011.000000,-1.130358
1012.000000,-1.121230
1013.000000,-1.124656
1014.000000,-1.122143
1015.000000,-1.129909
1016.000000,-1.127658
1017.000000,-1.136243
1018.000000,-1.133638
1019.000000,-1.137558
1020.000000,-1.134748
1021.000000,-1.148459
1022.000000,-1.141834
1023.000000,-1.129900
1024.000000,-1.138807
1025.000000,-1.131639
1026.000000,-1.131005
1027.000000,-1.133552
1028.000000,-1.132149
1029.000000,-1.147163
1030.000000,-1.143413
1031.000000,-1.143950
1032.000000,-1.146768
1033.000000,-1.140761
1034.000000,-1.136663
1035.000000,-1.137259
1036.000000,-1.146138
1037.000000,-1.133150
1038.000000,-1.149696
1039.000000,-1.136497
1040.000000,-1.143295
1041.000000,-1.142617
1042.000000,-1.137299
1043.000000,-1.148136
1044.000000,-1.143870
1045.000000,-1.133119
1046.000000,-1.120576
1047.000000,-1.129155
1048.000000,-1.122631
1049.000000,-1.139791
1050.000000,-1.137585
1051.000000,-1.137459
1052.000000,-1.135179
1053.000000,-1.143373
1054.000000,-1.141644
1055.000000,-1.136318
1056.000000,-1.140087
1057.000000,-1.115100
1058.000000,-1.127952
1059.000000,-1.133565
1060.000000,-1.125890
1061.000000,-1.133818
1062.000000,-1.142328
1063.000000,-1.138236
1064.000000,-1.133180
1065.000000,-1.132463
1066.000000,-1.141691
1067.000000,-1.133388
1068.000000,-1.130385
1069.000000,-1.134170
1070.000000,-1.130788
1071.000000,-1.134557
1072.000000,-1.123851
1073.000000,-1.131074
1074.000000,-1.127764
1075.000000,-1.135616
1076.000000,-1.127884
1077.000000,-1.130680
1078.000000,-1.118059
1079.000000,-1.127955
1080.000000,-1.126381
1081.000000,-1.129261
1082.000000,-1.123860
1083.000000,-1.139469
1084.000000,-1.130616
1085.000000,-1.121768
1086.000000,-1.132580
1087.000000,-1.132236
1088.000000,-1.132978
1089.000000,-1.130468
1090.000000,-1.137774
1091.000000,-1.145237
1092.000000,-1.140338
1093.000000,-1.132787
1094.000000,-1.139557
1095.000000,-1.130263
1096.000000,-1.136718
1097.000000,-1.137624
1098.000000,-1.132702
1099.000000,-1.124891
1100.000000,-1.122503
1101.000000,-1.128134
1102.000000,-1.129691
