"Angle"	"Energy kJ/mol"	"BondedTermsEnergy"	"NonBondedTermsEnergy"	"BondStretchEnergy"	"AngleStretchEnergy"	"TorsionEnergy"	"OutOfPlaneEnergy"	"DispersionEnergy"	"ElectrostaticEnergy"	"NonBondedEnergyC"	"NonBondedEnergyD"	Angle(1 0 2)	Angle-opt(1 0 2)	Angle(1 0 3)	Angle-opt(1 0 3)	Angle(1 0 4)	Angle-opt(1 0 4)	Angle(2 0 3)	Angle-opt(2 0 3)	Angle(2 0 4)	Angle-opt(2 0 4)	Angle(3 0 4)	Angle-opt(3 0 4)
7.800000	5.578369	5.578369	0.000000	0.000000	5.578369	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	109.471222	0.788634	109.471223	0.788635	117.271218	8.588630	109.471220	0.788632	105.442570	-3.240018	105.442568	-3.240020
7.833333	5.624780	5.624780	0.000000	0.000000	5.624780	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	109.471222	0.788634	109.471223	0.788635	117.304551	8.621963	109.471220	0.788632	105.424853	-3.257735	105.424851	-3.257737
7.866667	5.671396	5.671396	0.000000	0.000000	5.671396	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	109.471222	0.788634	109.471223	0.788635	117.337884	8.655296	109.471220	0.788632	105.407133	-3.275455	105.407129	-3.275459
7.900000	5.718217	5.718217	0.000000	0.000000	5.718217	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	109.471222	0.788634	109.471223	0.788635	117.371218	8.688630	109.471220	0.788632	105.389408	-3.293180	105.389403	-3.293185
7.933333	5.765240	5.765240	0.000000	0.000000	5.765240	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	109.471222	0.788634	109.471223	0.788635	117.404551	8.721963	109.471220	0.788632	105.371679	-3.310909	105.371673	-3.310915
7.966667	5.812470	5.812470	0.000000	0.000000	5.812470	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	109.471222	0.788634	109.471223	0.788635	117.437886	8.755298	109.471220	0.788632	105.353943	-3.328645	105.353942	-3.328646
8.000000	5.859898	5.859898	0.000000	0.000000	5.859898	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	109.471222	0.788634	109.471223	0.788635	117.471217	8.788629	109.471220	0.788632	105.336209	-3.346379	105.336206	-3.346382
8.033333	5.907537	5.907537	0.000000	0.000000	5.907537	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	109.471222	0.788634	109.471223	0.788635	117.504553	8.821965	109.471220	0.788632	105.318467	-3.364121	105.318463	-3.364125
8.066667	5.955373	5.955373	0.000000	0.000000	5.955373	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	109.471222	0.788634	109.471223	0.788635	117.537884	8.855296	109.471220	0.788632	105.300724	-3.381864	105.300719	-3.381869
8.100000	6.003418	6.003418	0.000000	0.000000	6.003418	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	109.471222	0.788634	109.471223	0.788635	117.571218	8.888630	109.471220	0.788632	105.282975	-3.399613	105.282972	-3.399616
8.133333	6.051665	6.051665	0.000000	0.000000	6.051665	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	109.471222	0.788634	109.471223	0.788635	117.604552	8.921964	109.471220	0.788632	105.265221	-3.417367	105.265221	-3.417367
8.166667	6.100115	6.100115	0.000000	0.000000	6.100115	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	109.471222	0.788634	109.471223	0.788635	117.637884	8.955296	109.471220	0.788632	105.247466	-3.435122	105.247466	-3.435122
8.200000	6.148769	6.148769	0.000000	0.000000	6.148769	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	109.471222	0.788634	109.471223	0.788635	117.671217	8.988629	109.471220	0.788632	105.229710	-3.452878	105.229704	-3.452884
8.233333	6.197633	6.197633	0.000000	0.000000	6.197633	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	109.471222	0.788634	109.471223	0.788635	117.704553	9.021965	109.471220	0.788632	105.211944	-3.470644	105.211941	-3.470647
8.266667	6.246692	6.246692	0.000000	0.000000	6.246692	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	109.471222	0.788634	109.471223	0.788635	117.737883	9.055295	109.471220	0.788632	105.194179	-3.488409	105.194175	-3.488413
