step,T,Epot,Efull,SolventMolsThroughZ,SolventMolsThroughKlap,Z_Klap,
1.1e-012,137.81,-8288.27,-8016.71,1,2,-0.0111676,
1.105e-012,138.615,-8294.64,-8021.5,0,1,-0.0110966,
1.11e-012,138.565,-8299.6,-8026.55,0,1,-0.0110359,
1.115e-012,137.54,-8302.36,-8031.33,0,1,-0.0112166,
1.12e-012,137.417,-8306.07,-8035.28,0,1,-0.0114835,
1.125e-012,136.97,-8308.09,-8038.18,0,1,-0.0116055,
1.13e-012,135.299,-8307.68,-8041.07,0,1,-0.0115433,
1.135e-012,134.396,-8308.07,-8043.24,0,1,-0.0113845,
1.14e-012,131.429,-8302.89,-8043.9,0,1,-0.0112116,
1.145e-012,130.491,-8300.14,-8043,0,1,-0.0110336,
1.15e-012,129.286,-8296.63,-8041.87,0,1,-0.0107931,
1.155e-012,133.166,-8299.29,-8036.88,0,1,-0.0104911,
1.16e-012,135.817,-8302.06,-8034.43,0,1,-0.0102824,
1.165e-012,139.241,-8308.15,-8033.77,0,1,-0.0103112,
1.17e-012,139.852,-8311.53,-8035.95,0,1,-0.0104806,
1.175e-012,135.921,-8304.31,-8036.48,0,1,-0.0105331,
1.18e-012,131.315,-8292.44,-8033.68,0,1,-0.0103784,
1.185e-012,128.391,-8280,-8027,0,1,-0.0101786,
1.19e-012,133.225,-8283.97,-8021.45,0,1,-0.0101253,
1.195e-012,139.297,-8294.21,-8019.72,0,1,-0.0102443,
1.2e-012,141.075,-8299.56,-8021.57,0,1,-0.0104682,
1.205e-012,139.203,-8293,-8018.7,0,1,-0.0108012,
1.21e-012,133.513,-8276.94,-8013.85,0,1,-0.0113187,
1.215e-012,127.826,-8256.04,-8004.16,0,1,-0.012079,
1.22e-012,121.989,-8230.07,-7989.68,0,1,-0.0131331,
1.225e-012,120.516,-8209.51,-7972.02,0,1,-0.0145199,
1.23e-012,122.668,-8197.46,-7955.74,0,1,-0.0160945,
1.235e-012,127.234,-8192.01,-7941.29,0,1,-0.0175692,
1.24e-012,131.232,-8189.56,-7930.96,0,1,-0.0189171,
1.245e-012,134.938,-8188.35,-7922.45,0,1,-0.0203728,
1.25e-012,137.82,-8188.86,-7917.28,0,1,-0.0218238,
1.255e-012,144.149,-8194.48,-7910.43,0,1,-0.022881,
1.26e-012,150.046,-8204.04,-7908.37,0,1,-0.0237398,
1.265e-012,155.4,-8217.2,-7910.97,0,1,-0.0250193,
1.27e-012,157.512,-8226.36,-7915.98,0,1,-0.026548,
1.275e-012,155.964,-8229.01,-7921.68,0,1,-0.0275396,
1.28e-012,155.575,-8233.32,-7926.75,0,1,-0.0280114,
1.285e-012,158.277,-8243.33,-7931.44,0,1,-0.0286314,
1.29e-012,160.745,-8255.2,-7938.44,0,1,-0.0293171,
1.295e-012,161.486,-8265.07,-7946.86,0,1,-0.0295514,
1.3e-012,158.988,-8267.62,-7954.33,0,1,-0.0297614,
1.305e-012,159.767,-8271.68,-7956.85,0,1,-0.0306853,
1.31e-012,160.136,-8274.62,-7959.06,0,1,-0.0318935,
1.315e-012,160.993,-8279.56,-7962.32,0,1,-0.0325556,
1.32e-012,160.269,-8281.47,-7965.65,0,1,-0.0329616,
1.325e-012,159.963,-8284.46,-7969.25,0,1,-0.0337235,
1.33e-012,159.543,-8286.92,-7972.54,0,1,-0.0344379,
1.335e-012,159.759,-8290.79,-7975.98,0,1,-0.0345918,
1.34e-012,158.978,-8291.52,-7978.25,0,1,-0.0347207,
1.345e-012,155.028,-8284.51,-7979.02,0,1,-0.0354283,
1.35e-012,151.905,-8276.4,-7977.06,0,1,-0.0363812,
1.355e-012,151.087,-8267.6,-7969.88,0,1,-0.037225,
1.36e-012,152.792,-8263.68,-7962.59,0,1,-0.0382998,
1.365e-012,152.741,-8256.2,-7955.21,0,1,-0.039787,
1.37e-012,153.026,-8250.58,-7949.04,0,1,-0.0412863,
1.375e-012,152.695,-8243.39,-7942.5,0,1,-0.0425996,
1.38e-012,154.161,-8239.98,-7936.2,0,1,-0.0438633,
1.385e-012,157.41,-8241.01,-7930.83,-1,0,-0.0449439,
1.39e-012,163.162,-8251.6,-7930.08,-1,0,-0.0456568,
1.395e-012,166.645,-8259.7,-7931.32,-1,0,-0.046261,
1.4e-012,168.894,-8268.5,-7935.69,-1,0,-0.0469621,
1.405e-012,169.595,-8271.46,-7937.27,0,1,-0.047546,
1.41e-012,167.585,-8268.47,-7938.24,0,1,-0.0479941,
1.415e-012,163.757,-8259.15,-7936.46,0,1,-0.048642,
1.42e-012,161.37,-8250.77,-7932.78,0,1,-0.049485,
1.425e-012,158.841,-8240.21,-7927.21,0,1,-0.050171,
1.43e-012,156.749,-8228.11,-7919.23,0,1,-0.0507009,
1.435e-012,156.213,-8218.29,-7910.46,0,1,-0.0513161,
1.44e-012,158.749,-8215.11,-7902.29,0,1,-0.0519246,
1.445e-012,161.433,-8215.12,-7897.01,0,1,-0.0523542,
1.45e-012,163.595,-8215.21,-7892.84,0,1,-0.0527861,
