t,temperature,ConvEKinTemp(ekin),sum_vel[0],sum_vel[1],sum_vel[2],sum_fup[0],sum_fup[1],sum_fup[2],sum_fdw[0],sum_fdw[1],sum_fdw[2]
1279.500000,298.000000,299.128288,21.533209,117.710661,-14.640148,1346.464445,41.258005,-1133.387071,-516.561712,-2387.933339,397.924759
1280.000000,298.000000,300.070518,25.256140,114.542478,-20.695324,1222.420808,-47.715098,-1192.298821,-426.108334,-2205.146430,355.751789
1280.500000,298.000000,300.546209,30.597193,109.737925,-31.000604,1100.954889,-135.537603,-1243.033377,-359.460572,-2050.720789,314.045804
1281.000000,298.000000,300.398423,37.725220,102.969308,-43.852044,978.929885,-221.029375,-1283.655008,-319.175388,-1925.361597,273.517705
1281.500000,298.000000,299.726737,46.609998,94.060282,-57.190394,861.757393,-303.062082,-1312.460882,-302.354744,-1828.993603,234.864190
1282.000000,298.000000,298.835898,57.006076,83.035340,-68.838100,747.947672,-380.623855,-1328.053234,-307.853236,-1760.767971,198.743784
1282.500000,298.000000,298.100340,68.482730,70.146576,-76.750191,639.223504,-452.878839,-1329.397717,-337.524261,-1719.092047,165.767922
1283.000000,298.000000,297.803460,80.458638,55.872006,-79.261946,537.873257,-519.212894,-1315.857438,-386.791016,-1701.692036,136.504611
1283.500000,298.000000,298.021214,92.264498,40.890116,-75.279953,443.594159,-579.256076,-1287.194569,-454.740933,-1705.702303,111.491742
1284.000000,298.000000,298.598258,103.206485,26.034622,-64.399748,359.240354,-632.881581,-1243.538374,-537.084351,-1727.774838,91.254493
1284.500000,298.000000,299.225297,112.618971,12.234950,-46.951604,283.895152,-680.182852,-1185.334461,-634.840990,-1764.206790,76.317734
1285.000000,298.000000,299.582514,119.927665,0.446918,-23.977508,217.833075,-721.426320,-1113.297593,-741.458853,-1811.074769,67.207193
1285.500000,298.000000,299.485976,124.690115,-8.422377,2.860400,160.940274,-757.001669,-1028.399535,-858.041599,-1864.372828,64.441839
1286.000000,298.000000,298.974392,126.621347,-13.590424,31.435577,117.084655,-787.362615,-931.903382,-981.223056,-1920.140305,68.510359
1286.500000,298.000000,298.297709,125.627858,-14.472787,59.363811,79.849667,-812.971353,-825.427213,-1104.679075,-1974.579660,79.842012
1287.000000,298.000000,297.810987,121.795693,-10.740039,84.247244,49.447703,-834.241943,-710.998325,-1230.362397,-2024.181788,98.770964
1287.500000,298.000000,297.818149,115.379547,-2.364683,103.912123,28.679813,-851.488866,-591.047270,-1355.978327,-2065.825713,125.499751
1288.000000,298.000000,298.432182,106.774204,10.354755,116.643410,15.828768,-864.886546,-468.317483,-1478.050385,-2096.871747,160.059059
1288.500000,298.000000,299.515541,96.472031,26.795662,121.354981,10.332399,-874.427386,-345.697129,-1595.749747,-2115.235418,202.267597
1289.000000,298.000000,300.728466,85.045044,46.042630,117.712943,12.333223,-879.910787,-226.018553,-1705.763809,-2119.439675,251.692003
1289.500000,298.000000,301.664620,73.085946,66.949436,106.168587,18.686941,-880.938971,-111.870064,-1806.780079,-2108.644303,307.615831
1290.000000,298.000000,302.017451,61.189714,88.229391,87.910373,30.696890,-876.936649,-5.458475,-1896.219051,-2082.641302,369.023651
1290.500000,298.000000,301.706079,49.911255,108.567615,64.745841,46.096571,-867.186965,91.471749,-1973.421459,-2041.829505,434.607713
1291.000000,298.000000,300.906272,39.734981,126.737822,38.923385,63.879766,-850.879566,177.668323,-2036.857734,-1987.160853,502.802920
1291.500000,298.000000,299.973659,31.052691,141.719652,12.905957,86.803386,-827.169035,252.366233,-2083.541551,-1920.077126,571.845707
1292.000000,298.000000,299.292850,24.139653,152.801153,-10.870746,111.585995,-795.232815,315.267598,-2113.991733,-1842.421730,639.850032
1292.500000,298.000000,299.121383,19.135829,159.647558,-30.249289,138.795651,-754.343022,366.506117,-2127.842455,-1756.351961,704.890794
1293.000000,298.000000,299.499926,16.036357,162.333240,-43.571527,168.770109,-703.910459,406.615472,-2126.908206,-1664.238256,765.085062
1293.500000,298.000000,300.259354,14.694688,161.328255,-49.830991,199.610406,-643.534900,436.478583,-2111.718473,-1568.560201,818.666759
1294.000000,298.000000,301.085671,14.838211,157.434598,-48.792029,234.036508,-573.034120,457.260536,-2079.304395,-1471.809347,864.048482
1294.500000,298.000000,301.610085,16.100547,151.676792,-40.988708,271.906381,-492.465514,470.321430,-2035.810840,-1376.389683,899.868481
1295.000000,298.000000,301.558764,18.050483,145.168447,-27.651522,313.548516,-402.125422,477.107848,-1980.704184,-1284.532120,925.025379
1295.500000,298.000000,300.910760,20.257545,138.976630,-10.578753,356.826455,-302.552362,479.046236,-1917.062372,-1198.214323,938.701158
1296.000000,298.000000,299.921786,22.326566,133.998254,8.080596,404.420450,-194.511309,477.461506,-1845.903718,-1119.100648,940.377290
1296.500000,298.000000,298.993622,23.937990,130.868362,26.060886,455.380130,-78.976838,473.541194,-1773.428919,-1048.496921,929.846763
1297.000000,298.000000,298.483062,24.875414,129.891616,41.227037,509.148572,42.888607,468.349894,-1697.388465,-987.325304,907.221885
1297.500000,298.000000,298.544725,25.033446,131.018856,51.819242,566.140463,169.759296,462.876177,-1620.487289,-936.094417,872.936116
1298.000000,298.000000,299.069289,24.435418,133.865490,56.640401,625.422256,300.173744,458.086573,-1543.393064,-894.898390,827.734383
1298.500000,298.000000,299.735684,23.222686,137.770551,55.181585,682.018746,432.553444,454.956031,-1467.511917,-863.417714,772.650486
1299.000000,298.000000,300.151932,21.616563,141.890598,47.673336,740.548748,565.222089,454.464218,-1396.667140,-840.925286,708.970298
1299.500000,298.000000,300.024914,19.887118,145.317760,35.064576,796.333630,696.425245,457.559169,-1329.245165,-826.306230,638.180741
1300.000000,298.000000,299.287930,18.320341,147.207416,18.921644,848.404761,824.344492,465.097372,-1266.977300,-818.077517,561.913092
1300.500000,298.000000,298.133436,17.183326,146.898761,1.250888,895.706103,947.112512,477.776141,-1208.546371,-814.425910,481.882232
1301.000000,298.000000,296.938900,16.680377,144.012146,-15.708696,934.501670,1062.842219,496.070060,-1154.875021,-813.262280,399.830242
1301.500000,298.000000,296.118772,16.927731,138.507932,-29.756482,964.659703,1169.654070,520.182484,-1104.481133,-812.290474,317.479782
1302.000000,298.000000,295.964186,17.926369,130.700195,-38.939251,985.133742,1265.718835,550.018601,-1059.498879,-809.101367,236.498204
1302.500000,298.000000,296.536010,19.570846,121.229383,-41.800225,994.904006,1349.293902,585.177086,-1018.275727,-801.270974,158.475888
1303.000000,298.000000,297.652714,21.631360,110.988192,-37.528823,994.284255,1418.780808,624.967952,-978.972320,-786.474710,84.910907
1303.500000,298.000000,298.971860,23.773601,101.022232,-26.062442,981.704111,1472.795002,668.451378,-942.993631,-762.613361,17.203266
1304.000000,298.000000,300.128254,25.583385,92.417202,-8.115975,956.609105,1510.222550,714.488925,-911.804338,-727.925030,-43.353993
1304.500000,298.000000,300.868842,26.621266,86.186763,14.906408,919.702877,1530.278191,761.796867,-882.750420,-681.085547,-95.586484
1305.000000,298.000000,301.128529,26.461934,83.172808,41.035851,872.857837,1532.558742,808.994543,-855.135991,-621.288810,-138.454800
1305.500000,298.000000,301.020647,24.757806,83.966491,67.933029,813.993549,1517.067108,854.639439,-830.138156,-548.288498,-171.078917
1306.000000,298.000000,300.755035,21.305750,88.855150,93.143968,744.673662,1484.241585,897.249992,-809.806227,-462.418585,-192.765238
1306.500000,298.000000,300.525667,16.095779,97.796006,114.320834,665.632526,1434.955485,935.327164,-790.921240,-364.577084,-203.034097
1307.000000,298.000000,300.421182,9.343982,110.415018,129.460751,580.400525,1370.505290,967.389041,-775.205626,-256.176447,-201.650669
1307.500000,298.000000,300.398016,1.507467,126.030094,137.112366,486.310551,1292.563177,992.026486,-762.364671,-139.075655,-188.651981
1308.000000,298.000000,300.321547,-6.745017,143.694061,136.535276,387.843725,1203.133574,1007.983054,-754.931147,-15.488788,-164.373745
1308.500000,298.000000,300.051858,-14.602404,162.255676,127.752433,283.629710,1104.474860,1014.232569,-749.646123,112.125628,-129.465404
1309.000000,298.000000,299.530172,-21.181892,180.431965,111.543446,177.333273,999.017117,1010.047744,-746.914835,241.186812,-84.895314
1309.500000,298.000000,298.825190,-25.643295,196.896971,89.373626,69.172218,889.264502,995.035217,-745.260503,369.122184,-31.931829
1310.000000,298.000000,298.119260,-27.298498,210.380676,63.215700,-37.861999,777.702720,969.142126,-745.589718,493.499531,27.900028
1310.500000,298.000000,297.640917,-25.722761,219.769267,35.344904,-143.541030,666.708516,932.631381,-746.542857,612.151745,92.886341
1311.000000,298.000000,297.574124,-20.812461,224.204493,8.095805,-247.096406,558.465645,886.039967,-746.751904,723.290679,161.208285
1311.500000,298.000000,297.983345,-12.840158,223.172269,-16.397515,-344.758712,454.902777,830.130860,-745.188103,825.598207,231.033502
1312.000000,298.000000,298.787667,-2.424934,216.568401,-36.373928,-437.048903,357.639243,765.848579,-741.610675,918.287673,300.604072
1312.500000,298.000000,299.793961,9.523625,204.729121,-50.611747,-523.397268,267.954271,694.281995,-734.771743,1001.143813,368.314131
1313.000000,298.000000,300.771638,21.917677,188.415186,-58.525072,-600.333662,186.774954,616.630117,-723.591456,1074.529690,432.771084
