step,T,Epot,Efull,SolventMolsThroughZ,
1.905e-012,1.#QNAN,1.#QNAN,1.#QNAN,
1.91e-012,1.#QNAN,1.#QNAN,1.#QNAN,
1.915e-012,1.#QNAN,1.#QNAN,1.#QNAN,
1.92e-012,1.#QNAN,1.#QNAN,1.#QNAN,
1.925e-012,1.#QNAN,1.#QNAN,1.#QNAN,
1.93e-012,1.#QNAN,1.#QNAN,1.#QNAN,
1.935e-012,1.#QNAN,1.#QNAN,1.#QNAN,
1.94e-012,1.#QNAN,1.#QNAN,1.#QNAN,
1.945e-012,1.#QNAN,1.#QNAN,1.#QNAN,
1.95e-012,1.#QNAN,1.#QNAN,1.#QNAN,
1.955e-012,1.#QNAN,1.#QNAN,1.#QNAN,
1.96e-012,1.#QNAN,1.#QNAN,1.#QNAN,
1.965e-012,1.#QNAN,1.#QNAN,1.#QNAN,
1.97e-012,1.#QNAN,1.#QNAN,1.#QNAN,
1.975e-012,1.#QNAN,1.#QNAN,1.#QNAN,
1.98e-012,1.#QNAN,1.#QNAN,1.#QNAN,
1.985e-012,1.#QNAN,1.#QNAN,1.#QNAN,
1.99e-012,1.#QNAN,1.#QNAN,1.#QNAN,
1.995e-012,1.#QNAN,1.#QNAN,1.#QNAN,
2e-012,1.#QNAN,1.#QNAN,1.#QNAN,
2.005e-012,1.#QNAN,1.#QNAN,1.#QNAN,
2.01e-012,1.#QNAN,1.#QNAN,1.#QNAN,
2.015e-012,1.#QNAN,1.#QNAN,1.#QNAN,
2.02e-012,1.#QNAN,1.#QNAN,1.#QNAN,
2.025e-012,1.#QNAN,1.#QNAN,1.#QNAN,
2.03e-012,1.#QNAN,1.#QNAN,1.#QNAN,
2.035e-012,1.#QNAN,1.#QNAN,1.#QNAN,
2.04e-012,1.#QNAN,1.#QNAN,1.#QNAN,
2.045e-012,1.#QNAN,1.#QNAN,1.#QNAN,
2.05e-012,1.#QNAN,1.#QNAN,1.#QNAN,
2.055e-012,1.#QNAN,1.#QNAN,1.#QNAN,
2.06e-012,1.#QNAN,1.#QNAN,1.#QNAN,
2.065e-012,1.#QNAN,1.#QNAN,1.#QNAN,
2.07e-012,1.#QNAN,1.#QNAN,1.#QNAN,
2.075e-012,1.#QNAN,1.#QNAN,1.#QNAN,
2.08e-012,1.#QNAN,1.#QNAN,1.#QNAN,
2.085e-012,1.#QNAN,1.#QNAN,1.#QNAN,
2.09e-012,1.#QNAN,1.#QNAN,1.#QNAN,
2.095e-012,1.#QNAN,1.#QNAN,1.#QNAN,
2.1e-012,1.#QNAN,1.#QNAN,1.#QNAN,
2.105e-012,1.#QNAN,1.#QNAN,1.#QNAN,
2.11e-012,1.#QNAN,1.#QNAN,1.#QNAN,
2.115e-012,1.#QNAN,1.#QNAN,1.#QNAN,
2.12e-012,1.#QNAN,1.#QNAN,1.#QNAN,
2.125e-012,1.#QNAN,1.#QNAN,1.#QNAN,
2.13e-012,1.#QNAN,1.#QNAN,1.#QNAN,
2.135e-012,1.#QNAN,1.#QNAN,1.#QNAN,
2.14e-012,1.#QNAN,1.#QNAN,1.#QNAN,
2.145e-012,1.#QNAN,1.#QNAN,1.#QNAN,
2.15e-012,1.#QNAN,1.#QNAN,1.#QNAN,
2.155e-012,1.#QNAN,1.#QNAN,1.#QNAN,
