t,temperature,ConvEKinTemp(ekin),sum_vel[0],sum_vel[1],sum_vel[2],sum_fup[0],sum_fup[1],sum_fup[2],sum_fdw[0],sum_fdw[1],sum_fdw[2]
44.000000,298.000000,296.839544,-58.792743,70.162002,547.336035,1262.001778,2685.924152,-7.876753,-951.964850,-396.252656,-2697.373426
44.500000,298.000000,297.087477,-49.583825,75.302271,532.520472,1310.134847,2798.226728,-4.078698,-857.650963,-335.648906,-2694.542360
45.000000,298.000000,301.303447,-38.241272,80.335018,512.884719,1360.996575,2911.425206,-9.361723,-773.822554,-299.686386,-2676.853242
45.500000,298.000000,309.089852,-25.810733,84.693294,491.321112,1411.187386,3023.429974,-23.571830,-703.883967,-292.083145,-2644.451254
46.000000,298.000000,318.818526,-13.397899,87.922788,471.086921,1457.825732,3132.253309,-46.277826,-649.763145,-315.774136,-2598.228572
46.500000,298.000000,328.342983,-2.054977,89.732063,455.283085,1497.509774,3235.988344,-75.544619,-616.858033,-372.813731,-2538.619309
47.000000,298.000000,335.858352,7.314720,90.017032,446.670422,1526.985097,3332.785298,-103.311429,-604.827609,-464.314193,-2467.098970
47.500000,298.000000,340.560671,14.048822,88.865072,447.164273,1544.879764,3420.863870,-141.007179,-616.598566,-590.412112,-2385.729187
48.000000,298.000000,342.815790,17.777121,86.534230,457.811693,1549.503638,3498.500690,-180.822036,-650.941820,-750.252538,-2295.795321
48.500000,298.000000,343.793472,18.455191,83.408790,478.291727,1538.269044,3564.023030,-222.265547,-709.412316,-941.995714,-2201.375943
49.000000,298.000000,344.796526,16.358873,79.942396,507.415072,1511.861395,3615.806368,-264.469628,-792.780327,-1162.839892,-2104.380428
49.500000,298.000000,346.610170,12.021566,76.589250,543.105238,1470.308154,3652.312914,-307.426107,-897.755816,-1409.063326,-2007.667766
50.000000,298.000000,349.166181,6.176620,73.738724,582.024328,1416.954280,3672.163044,-350.648514,-1022.883515,-1676.109951,-1913.338906
50.500000,298.000000,351.676458,-0.343221,71.655701,620.587077,1352.169070,3674.286329,-395.182056,-1166.677628,-1958.711901,-1824.831005
51.000000,298.000000,353.146667,-6.725066,70.445864,655.088888,1280.571603,3658.122475,-441.130682,-1325.286378,-2251.045643,-1743.605905
51.500000,298.000000,352.980193,-12.257186,70.044387,682.072644,1202.238935,3623.836397,-488.186351,-1493.245246,-2546.903525,-1673.685336
52.000000,298.000000,351.389761,-16.418423,70.229717,698.628361,1121.452753,3572.480786,-537.406704,-1670.218468,-2839.893579,-1614.887339
52.500000,298.000000,349.392899,-18.935611,70.669171,702.843707,1038.284089,3506.016905,-588.785967,-1848.892126,-3123.630545,-1570.025279
53.000000,298.000000,348.373065,-19.800420,70.977092,694.039366,952.539223,3427.191285,-643.482140,-2024.225779,-3391.909817,-1538.990959
53.500000,298.000000,349.430453,-19.254793,70.782986,672.694573,866.390464,3339.302119,-702.897167,-2193.345766,-3638.873868,-1522.987715
54.000000,298.000000,352.834997,-17.765613,69.794461,640.505989,779.239230,3245.930690,-764.232859,-2349.167323,-3859.162368,-1521.426781
54.500000,298.000000,357.839026,-15.939971,67.841760,600.296738,691.526038,3150.728249,-826.803124,-2488.764649,-4048.067346,-1535.581726
55.000000,298.000000,362.959594,-14.436892,64.899255,555.656550,604.641229,3057.264207,-888.440284,-2605.150583,-4201.682955,-1563.515144
55.500000,298.000000,366.612880,-13.877998,61.088764,510.485632,519.915635,2968.945674,-947.214420,-2692.110585,-4317.052661,-1603.116339
56.000000,298.000000,367.822658,-14.744971,56.659140,468.850567,437.104969,2888.974519,-999.516799,-2749.099600,-4392.305518,-1653.923066
56.500000,298.000000,366.657463,-17.304671,51.952381,434.429069,360.685221,2820.290870,-1043.207467,-2774.119999,-4426.766757,-1712.764317
57.000000,298.000000,364.196811,-21.560062,47.362422,410.025812,291.017313,2765.490058,-1075.132012,-2764.502045,-4421.018199,-1777.464122
57.500000,298.000000,362.060323,-27.234450,43.283073,397.688586,230.109316,2726.725454,-1098.131427,-2720.643650,-4376.904069,-1844.840854
58.000000,298.000000,361.673252,-33.777591,40.064513,398.051238,179.761700,2705.606577,-1109.804782,-2644.464094,-4297.471751,-1911.050367
58.500000,298.000000,363.617049,-40.424472,37.971529,410.550144,138.731184,2703.111133,-1111.153167,-2536.151350,-4186.858272,-1974.119755
59.000000,298.000000,367.372706,-46.279406,37.152440,433.553897,110.250636,2719.556656,-1103.349917,-2400.557471,-4050.134510,-2029.784803
59.500000,298.000000,371.559761,-50.398737,37.621392,464.512589,93.929300,2754.622638,-1088.992034,-2243.652504,-3893.136188,-2075.530527
