step,T,Epot,Efull,SolventMolsThroughZ,SolventMolsThroughKlap,Z_Klap,G,v_theor,v_pract
1.215e-012,133.313,-8761.39,-8505.34,0,0,0.0197898,434.726,-0.353439,0.287965
1.22e-012,133.063,-8753.01,-8497.45,0,0,0.0168207,435.889,-0.351262,0.290142
1.225e-012,132.696,-8744.45,-8489.59,0,0,0.013699,437.045,-0.34908,0.292325
1.23e-012,131.886,-8733.99,-8480.68,0,0,0.0103818,438.193,-0.346892,0.294513
1.235e-012,131.301,-8723.86,-8471.68,0,0,0.00707152,439.334,-0.344698,0.296707
1.24e-012,130.471,-8712.67,-8462.08,0,0,0.00403502,440.468,-0.342498,0.298907
1.245e-012,130.478,-8702.9,-8452.3,0,0,0.00124693,441.595,-0.340293,0.301113
1.25e-012,131.188,-8694.23,-8442.27,0,0,-0.00150697,442.714,-0.338082,0.303324
1.255e-012,135.484,-8690.16,-8429.95,0,0,-0.00426319,443.826,-0.335866,0.30554
1.26e-012,138.638,-8686.97,-8420.69,0,0,-0.00691076,444.931,-0.333644,0.307763
1.265e-012,141.316,-8684.52,-8413.1,0,0,-0.00944917,446.028,-0.331417,0.30999
1.27e-012,143.84,-8684.35,-8408.09,0,0,-0.0119212,447.118,-0.329184,0.312223
1.275e-012,143.696,-8679.85,-8403.86,0,0,-0.0143548,448.201,-0.326946,0.314462
1.28e-012,143.442,-8675.34,-8399.83,0,0,-0.0169979,449.276,-0.324702,0.316706
1.285e-012,142.465,-8668.65,-8395.03,0,0,-0.0201258,450.344,-0.322453,0.318955
1.29e-012,142.921,-8664.84,-8390.34,0,0,-0.0235153,451.404,-0.320198,0.32121
1.295e-012,144.009,-8662.76,-8386.17,0,0,-0.0267302,452.457,-0.317939,0.32347
1.3e-012,145.882,-8663.13,-8382.94,0,0,-0.0299477,453.503,-0.315674,0.325735
1.305e-012,149.013,-8663.09,-8376.88,0,0,-0.03375,454.541,-0.313404,0.328005
1.31e-012,150.701,-8662.01,-8372.57,0,0,-0.0381328,455.571,-0.311129,0.330281
1.315e-012,153.847,-8665.57,-8370.08,0,0,-0.0425187,456.594,-0.308848,0.332561
1.32e-012,156.914,-8671.71,-8370.33,0,0,-0.046645,457.609,-0.306563,0.334847
1.325e-012,160.568,-8681.12,-8372.73,0,0,-0.0507059,458.617,-0.304272,0.337138
1.33e-012,164.051,-8692.36,-8377.27,0,0,-0.0548113,459.618,-0.301976,0.339434
1.335e-012,165.21,-8700.44,-8383.13,0,0,-0.0588969,460.61,-0.299676,0.341735
1.34e-012,165.146,-8706.44,-8389.25,0,0,-0.0629421,461.596,-0.29737,0.34404
1.345e-012,163.828,-8710.34,-8395.68,0,0,-0.0669174,462.573,-0.29506,0.346351
1.35e-012,162.765,-8714.44,-8401.83,0,0,-0.0707873,463.543,-0.292745,0.348667
1.355e-012,162.567,-8715.2,-8402.96,0,0,-0.0746719,464.505,-0.290424,0.350987
1.36e-012,164.481,-8720.22,-8404.31,0,0,-0.0786556,465.46,-0.2881,0.353312
1.365e-012,165.444,-8724.95,-8407.19,0,0,-0.0825498,466.407,-0.28577,0.355642
1.37e-012,165.209,-8726.98,-8409.67,0,0,-0.0862337,467.346,-0.283436,0.357977
1.375e-012,165.541,-8730.79,-8412.85,0,0,-0.0899041,468.277,-0.281096,0.360316
1.38e-012,166.594,-8736.37,-8416.4,0,0,-0.0936708,469.201,-0.278753,0.36266
1.385e-012,168.775,-8744.7,-8420.54,0,0,-0.097326,470.117,-0.276404,0.365008
1.39e-012,171.851,-8756.41,-8426.35,0,0,-0.100764,471.025,-0.274052,0.367362
1.395e-012,174.679,-8769.99,-8434.49,0,0,-0.104126,471.926,-0.271694,0.369719
