step,T,Epot,Efull,SolventMolsThroughZ,SolventMolsThroughKlap,Z_Klap,G,v
6.75e-013,49.8687,-8274.06,-8178.28,0,0,-0.166143,150.371,-0.472
6.8e-013,50.3996,-8273.83,-8177.03,0,0,-0.165845,151.409,-0.471246
6.85e-013,49.4516,-8270.8,-8175.82,0,0,-0.165669,152.445,-0.470486
6.9e-013,49.0768,-8268.21,-8173.95,0,0,-0.165385,153.479,-0.469721
6.95e-013,47.5422,-8262.19,-8170.88,0,0,-0.16493,154.511,-0.468951
7e-013,46.4677,-8256.55,-8167.3,0,0,-0.164459,155.542,-0.468176
7.05e-013,45.6013,-8247.86,-8160.27,0,0,-0.164043,156.571,-0.467396
7.1e-013,44.944,-8239.09,-8152.77,0,0,-0.163567,157.599,-0.46661
7.15e-013,43.8037,-8228.71,-8144.58,0,0,-0.162971,158.624,-0.46582
7.2e-013,43.0311,-8218.47,-8135.82,0,0,-0.162374,159.648,-0.465024
7.25e-013,41.6689,-8206.03,-8126,0,0,-0.161798,160.671,-0.464223
7.3e-013,41.5895,-8195.87,-8115.99,0,0,-0.16099,161.691,-0.463417
7.35e-013,41.6339,-8185.49,-8105.52,0,0,-0.159786,162.71,-0.462606
7.4e-013,42.5589,-8177.31,-8095.57,0,0,-0.158433,163.726,-0.46179
7.45e-013,44.5694,-8172.02,-8086.42,0,0,-0.157191,164.741,-0.460969
7.5e-013,47.979,-8171.51,-8079.36,0,0,-0.155899,165.755,-0.460143
7.55e-013,53.2547,-8175.45,-8073.17,0,0,-0.154359,166.766,-0.459312
7.6e-013,58.7444,-8182.88,-8070.05,0,0,-0.152795,167.776,-0.458475
7.65e-013,62.9915,-8191.43,-8070.45,0,0,-0.151481,168.783,-0.457634
7.7e-013,66.0331,-8200.56,-8073.73,0,0,-0.150322,169.789,-0.456787
7.75e-013,66.6953,-8206.98,-8078.89,0,0,-0.149245,170.793,-0.455936
7.8e-013,66.7529,-8212.18,-8083.97,0,0,-0.148465,171.795,-0.45508
7.85e-013,65.0811,-8213.08,-8088.08,0,0,-0.148066,172.796,-0.454218
7.9e-013,63.5194,-8213.12,-8091.12,0,0,-0.147834,173.794,-0.453352
7.95e-013,62.2993,-8212.49,-8092.84,0,0,-0.147681,174.79,-0.45248
8e-013,60.9977,-8211.04,-8093.88,0,0,-0.147728,175.785,-0.451604
8.05e-013,62.8643,-8213.3,-8092.56,0,0,-0.147926,176.778,-0.450722
8.1e-013,63.3781,-8214.53,-8092.8,0,0,-0.148053,177.768,-0.449836
8.15e-013,64.9039,-8217.63,-8092.97,0,0,-0.14807,178.757,-0.448945
8.2e-013,64.7487,-8218.03,-8093.67,0,0,-0.148032,179.744,-0.448048
8.25e-013,65.6495,-8220.91,-8094.82,0,0,-0.147799,180.728,-0.447147
8.3e-013,65.0072,-8220.52,-8095.66,0,0,-0.147231,181.711,-0.446241
8.35e-013,65.6995,-8223.14,-8096.96,0,0,-0.146452,182.692,-0.44533
8.4e-013,66.181,-8225.78,-8098.66,0,0,-0.145631,183.67,-0.444414
8.45e-013,67.3813,-8230.29,-8100.87,0,0,-0.144776,184.647,-0.443493
8.5e-013,68.2224,-8234.95,-8103.92,0,0,-0.14391,185.622,-0.442568
8.55e-013,70.6047,-8240.25,-8104.64,0,0,-0.143149,186.594,-0.441637
8.6e-013,70.6683,-8242.21,-8106.48,0,0,-0.142522,187.565,-0.440702
8.65e-013,70.8279,-8244.48,-8108.44,0,0,-0.141986,188.534,-0.439761
8.7e-013,68.6696,-8242.02,-8110.13,0,0,-0.141596,189.5,-0.438816
8.75e-013,66.7045,-8238.47,-8110.36,0,0,-0.141457,190.464,-0.437866
8.8e-013,63.1277,-8229.69,-8108.44,0,0,-0.141595,191.427,-0.436912
8.85e-013,61.7803,-8222.96,-8104.3,0,0,-0.14204,192.387,-0.435952
8.9e-013,60.4591,-8216.07,-8099.95,0,0,-0.14286,193.345,-0.434988
8.95e-013,60.8949,-8211.61,-8094.65,0,0,-0.143979,194.301,-0.434019
9e-013,62.6318,-8210.65,-8090.36,0,0,-0.145154,195.255,-0.433045
9.05e-013,65.5805,-8210.62,-8084.66,0,0,-0.146228,196.206,-0.432066
9.1e-013,69.3827,-8214.49,-8081.23,0,0,-0.147186,197.156,-0.431083
9.15e-013,71.5325,-8217.39,-8080,0,0,-0.148003,198.103,-0.430095
9.2e-013,73.8205,-8222.43,-8080.65,0,0,-0.14868,199.048,-0.429102
9.25e-013,74.5919,-8225.34,-8082.08,0,0,-0.149315,199.991,-0.428104
9.3e-013,74.484,-8226.72,-8083.66,0,0,-0.149936,200.932,-0.427102
9.35e-013,73.038,-8225.45,-8085.17,0,0,-0.15041,201.87,-0.426095
9.4e-013,70.7906,-8221.01,-8085.04,0,0,-0.150668,202.807,-0.425083
9.45e-013,67.8669,-8213.59,-8083.24,0,0,-0.150836,203.741,-0.424067
9.5e-013,65.4254,-8205.02,-8079.36,0,0,-0.151039,204.672,-0.423046
9.55e-013,65.04,-8196.46,-8071.54,0,0,-0.151245,205.602,-0.42202
9.6e-013,65.2611,-8188.47,-8063.13,0,0,-0.151407,206.529,-0.42099
9.65e-013,67.3008,-8185.52,-8056.26,0,0,-0.151601,207.454,-0.419955
9.7e-013,70.29,-8185.84,-8050.84,0,0,-0.151931,208.377,-0.418915
9.75e-013,72.9237,-8187.45,-8047.39,0,0,-0.152381,209.298,-0.417871
9.8e-013,75.1434,-8190.32,-8045.99,0,0,-0.152877,210.216,-0.416822
9.85e-013,75.2178,-8190.38,-8045.91,0,0,-0.153424,211.132,-0.415769
9.9e-013,74.4849,-8188.39,-8045.33,0,0,-0.154067,212.045,-0.414711
9.95e-013,72.1234,-8182.35,-8043.83,0,0,-0.154704,212.956,-0.413648
1e-012,71.114,-8176.51,-8039.92,0,0,-0.155101,213.865,-0.412581
1.005e-012,71.5278,-8171.2,-8033.82,0,0,-0.155175,214.772,-0.41151
1.01e-012,72.8473,-8167.73,-8027.81,0,0,-0.15506,215.676,-0.410434
1.015e-012,74.4422,-8166.41,-8023.43,0,0,-0.154779,216.578,-0.409353
1.02e-012,74.9587,-8167.9,-8023.93,0,0,-0.154169,217.477,-0.408268
1.025e-012,75.6988,-8175.23,-8029.84,0,0,-0.153335,218.374,-0.407178
1.03e-012,76.5316,-8176.58,-8029.59,0,0,-0.152736,219.269,-0.406084
1.035e-012,76.669,-8175.19,-8027.94,0,0,-0.152549,220.161,-0.404986
1.04e-012,76.8493,-8174.81,-8027.21,0,0,-0.152428,221.051,-0.403883
1.045e-012,78.218,-8177.05,-8026.82,0,0,-0.152133,221.938,-0.402775
1.05e-012,80.0862,-8181.88,-8028.06,0,0,-0.151878,222.823,-0.401663
1.055e-012,81.4849,-8183.33,-8026.82,0,0,-0.151872,223.705,-0.400547
1.06e-012,81.533,-8182.68,-8026.09,1,1,-0.152074,224.585,-0.399426
1.065e-012,80.8496,-8180.77,-8025.49,1,1,-0.152528,225.463,-0.398301
1.07e-012,81.2161,-8180.35,-8024.37,1,1,-0.153339,226.338,-0.397172
1.075e-012,81.8435,-8180.36,-8023.16,1,1,-0.154286,227.21,-0.396038
1.08e-012,83.7374,-8183.55,-8022.72,1,1,-0.155038,228.08,-0.394899
1.085e-012,86.8356,-8190.51,-8023.73,1,1,-0.155645,228.948,-0.393757
1.09e-012,89.8432,-8199.54,-8026.98,1,1,-0.156333,229.813,-0.39261
1.095e-012,91.6634,-8208.62,-8032.57,1,1,-0.157011,230.676,-0.391459
1.1e-012,92.9536,-8217.54,-8039.01,1,1,-0.157445,231.535,-0.390303
1.105e-012,94.0622,-8223.47,-8042.81,1,1,-0.15765,232.393,-0.389143
1.11e-012,94.1775,-8228.62,-8047.74,1,1,-0.15776,233.248,-0.387979
1.115e-012,91.8717,-8227.68,-8051.23,1,1,-0.15781,234.1,-0.386811
1.12e-012,90.8168,-8228.76,-8054.33,1,1,-0.157814,234.95,-0.385638
