step,T,Epot,Efull,SolventMolsThroughZ,SolventMolsThroughKlap,Z_Klap,G,v
6.65e-013,26.064,-8317.35,-8267.29,0,0,-0.175297,53.2943,-0.352387
6.7e-013,26.4489,-8318,-8267.2,0,0,-0.175171,53.6818,-0.352119
6.75e-013,26.2016,-8317.36,-8267.04,0,0,-0.174945,54.069,-0.35185
6.8e-013,26.275,-8317.31,-8266.85,0,0,-0.174795,54.4559,-0.351579
6.85e-013,25.7868,-8316.73,-8267.2,0,0,-0.174763,54.8425,-0.351305
6.9e-013,25.4653,-8316.24,-8267.33,0,0,-0.174725,55.2288,-0.35103
6.95e-013,24.7855,-8314.51,-8266.91,0,0,-0.174592,55.6148,-0.350753
7e-013,24.4108,-8312.52,-8265.63,0,0,-0.174411,56.0004,-0.350474
7.05e-013,24.2251,-8309.07,-8262.54,0,0,-0.174231,56.3858,-0.350193
7.1e-013,24.0638,-8305.85,-8259.64,0,0,-0.173986,56.7709,-0.34991
7.15e-013,23.6228,-8301.65,-8256.28,0,0,-0.17362,57.1556,-0.349625
7.2e-013,23.0813,-8296.94,-8252.61,0,0,-0.173209,57.5401,-0.349339
7.25e-013,22.3407,-8291.67,-8248.76,0,0,-0.172818,57.9242,-0.34905
7.3e-013,21.9608,-8286.26,-8244.08,0,0,-0.172327,58.308,-0.348759
7.35e-013,21.558,-8280.83,-8239.42,0,0,-0.171619,58.6915,-0.348467
7.4e-013,21.2716,-8275.9,-8235.04,0,0,-0.17081,59.0746,-0.348172
7.45e-013,21.6126,-8271.49,-8229.98,0,0,-0.170063,59.4574,-0.347876
7.5e-013,22.3454,-8268.36,-8225.44,0,0,-0.169301,59.8399,-0.347578
7.55e-013,24.0303,-8266.96,-8220.81,0,0,-0.168398,60.2221,-0.347278
7.6e-013,25.9943,-8266.91,-8216.98,0,0,-0.167473,60.604,-0.346976
7.65e-013,27.8632,-8268.39,-8214.87,0,0,-0.166691,60.9855,-0.346672
7.7e-013,29.5328,-8271.07,-8214.35,0,0,-0.165976,61.3667,-0.346366
7.75e-013,30.6565,-8273.26,-8214.38,0,0,-0.165235,61.7475,-0.346058
7.8e-013,31.5732,-8275.88,-8215.24,0,0,-0.164571,62.128,-0.345748
7.85e-013,31.5141,-8277.18,-8216.65,0,0,-0.16406,62.5081,-0.345437
7.9e-013,31.3403,-8278,-8217.81,0,0,-0.163619,62.888,-0.345123
7.95e-013,30.9252,-8278.04,-8218.64,0,0,-0.163223,63.2674,-0.344808
8e-013,30.1685,-8276.81,-8218.86,0,0,-0.162943,63.6465,-0.34449
8.05e-013,30.8764,-8277.11,-8217.81,0,0,-0.162754,64.0253,-0.344171
8.1e-013,31.126,-8277.05,-8217.26,0,0,-0.162567,64.4037,-0.34385
8.15e-013,32.0843,-8278.56,-8216.94,0,0,-0.162375,64.7818,-0.343527
8.2e-013,32.5511,-8279.8,-8217.28,0,0,-0.16216,65.1595,-0.343202
8.25e-013,33.655,-8282.24,-8217.6,0,0,-0.161805,65.5368,-0.342876
8.3e-013,33.9321,-8284.99,-8219.81,0,0,-0.161289,65.9138,-0.342547
8.35e-013,34.144,-8286.76,-8221.18,0,0,-0.160749,66.2904,-0.342217
8.4e-013,34.1904,-8289.3,-8223.64,0,0,-0.160242,66.6667,-0.341884
8.45e-013,34.0662,-8290.6,-8225.17,0,0,-0.159701,67.0426,-0.34155
8.5e-013,34.0324,-8291.91,-8226.55,0,0,-0.159153,67.4181,-0.341214
8.55e-013,34.5038,-8293.61,-8227.34,0,0,-0.158699,67.7933,-0.340876
8.6e-013,34.4247,-8294.41,-8228.29,0,0,-0.158297,68.1681,-0.340536
8.65e-013,34.4225,-8294.84,-8228.73,0,0,-0.157867,68.5425,-0.340194
8.7e-013,33.6386,-8293.73,-8229.12,0,0,-0.157511,68.9165,-0.33985
8.75e-013,32.7677,-8291.92,-8228.98,0,0,-0.157362,69.2901,-0.339505
8.8e-013,31.3451,-8288.16,-8227.96,0,0,-0.157367,69.6634,-0.339157
8.85e-013,30.66,-8284.83,-8225.95,0,0,-0.15745,70.0363,-0.338808
8.9e-013,29.8527,-8280.91,-8223.58,0,0,-0.157701,70.4088,-0.338457
8.95e-013,29.8498,-8277.36,-8220.03,0,0,-0.158184,70.7809,-0.338104
9e-013,30.8456,-8276.55,-8217.31,0,0,-0.158757,71.1526,-0.337749
9.05e-013,32.5649,-8276.92,-8214.38,0,0,-0.159264,71.524,-0.337393
9.1e-013,35.0475,-8279.96,-8212.64,0,0,-0.159728,71.8949,-0.337034
9.15e-013,36.6366,-8283.05,-8212.69,0,0,-0.160227,72.2654,-0.336674
9.2e-013,38.2809,-8287.4,-8213.88,0,0,-0.160761,72.6356,-0.336311
9.25e-013,38.9291,-8290.67,-8215.9,0,0,-0.161302,73.0053,-0.335947
9.3e-013,38.9225,-8292.57,-8217.82,0,0,-0.161822,73.3747,-0.335581
9.35e-013,38.2507,-8293.41,-8219.94,0,0,-0.162275,73.7436,-0.335214
9.4e-013,37.3673,-8292.88,-8221.12,0,0,-0.162637,74.1122,-0.334844
9.45e-013,36.5212,-8291.53,-8221.38,0,0,-0.162969,74.4803,-0.334472
9.5e-013,35.4928,-8289.48,-8221.31,0,0,-0.163356,74.848,-0.334099
9.55e-013,35.5546,-8287.76,-8219.47,0,0,-0.163802,75.2153,-0.333724
9.6e-013,35.4573,-8285.91,-8217.81,0,0,-0.164247,75.5822,-0.333347
9.65e-013,36.0394,-8285.14,-8215.92,0,0,-0.164673,75.9487,-0.332968
9.7e-013,36.5196,-8284.71,-8214.57,0,0,-0.165155,76.3147,-0.332587
9.75e-013,37.3501,-8285.29,-8213.55,0,0,-0.165735,76.6804,-0.332205
9.8e-013,37.5895,-8284.91,-8212.72,0,0,-0.166324,77.0456,-0.331821
9.85e-013,37.9755,-8285.83,-8212.89,0,0,-0.166835,77.4104,-0.331435
9.9e-013,37.7286,-8285.13,-8212.67,0,0,-0.167328,77.7748,-0.331047
9.95e-013,36.8127,-8283.17,-8212.47,0,0,-0.167888,78.1387,-0.330657
1e-012,35.53,-8279.43,-8211.19,0,0,-0.168422,78.5022,-0.330265
1.005e-012,35.0909,-8275.65,-8208.25,0,0,-0.16877,78.8653,-0.329872
1.01e-012,34.4393,-8270.66,-8204.52,0,0,-0.168945,79.2279,-0.329477
