step,T,Epot,Efull,SolventMolsThroughZ,SolventMolsThroughKlap,Klapan_Z,Solvent_Z,G,v_theor,v_pract
8.3e-013,337.81,-8450.3,-7801.49,0,0,-0.172475,0.421485,-330,0,-0.0545325
8.35e-013,329.731,-8442.79,-7809.49,0,0,-0.172328,0.421901,-335,0,-0.0561962
8.4e-013,321.688,-8430.78,-7812.93,0,0,-0.172357,0.422326,-340,0,-0.057885
8.45e-013,314.78,-8421.64,-7817.05,0,0,-0.17222,0.422802,-345,0,-0.0595987
8.5e-013,307.247,-8410.04,-7819.93,0,0,-0.171844,0.423461,-350,0,-0.0613375
8.55e-013,305.714,-8408.5,-7821.33,0,0,-0.171493,0.424572,-355,0,-0.0631012
8.6e-013,310.006,-8418.88,-7823.47,0,0,-0.171119,0.426361,-360,0,-0.06489
8.65e-013,318.769,-8436.81,-7824.56,0,0,-0.170519,0.42871,-365,0,-0.0667038
8.7e-013,326.867,-8461.46,-7833.66,0,0,-0.169882,0.431359,-370,0,-0.0685425
8.75e-013,334.277,-8479.22,-7837.19,0,0,-0.169418,0.43414,-375,0,-0.0704063
8.8e-013,335.879,-8485.46,-7840.35,0,0,-0.168897,0.436973,-380,0,-0.072295
8.85e-013,334.704,-8487.21,-7844.36,0,0,-0.168187,0.43982,-385,0,-0.0742088
8.9e-013,328.657,-8477.88,-7846.64,0,0,-0.167613,0.442662,-390,0,-0.0761475
8.95e-013,317.827,-8459.62,-7849.18,0,0,-0.167298,0.445494,-395,0,-0.0781113
9e-013,305.298,-8436.78,-7850.41,0,0,-0.166899,0.448316,-400,0,-0.0801
9.05e-013,290.806,-8408.28,-7849.74,0,0,-0.166336,0.451127,-405,0,-0.0821138
9.1e-013,278.394,-8382.62,-7847.92,0,0,-0.165939,0.453932,-410,0,-0.0841525
9.15e-013,268.042,-8359.7,-7844.88,0,0,-0.1657,0.456733,-415,0,-0.0862163
9.2e-013,266.074,-8352.15,-7841.12,0,0,-0.165273,0.459535,-420,0,-0.088305
9.25e-013,267.01,-8350.33,-7837.49,0,0,-0.164784,0.462338,-425,0,-0.0904188
9.3e-013,268.961,-8350.61,-7834.03,0,0,-0.16471,0.465142,-430,0,-0.0925575
9.35e-013,265.244,-8340.98,-7831.54,0,0,-0.164934,0.467948,-435,0,-0.0947213
9.4e-013,259.066,-8325.47,-7827.89,0,0,-0.164807,0.470756,-440,0,-0.09691
9.45e-013,250.362,-8305.18,-7824.32,0,0,-0.164111,0.47357,-445,0,-0.0991238
9.5e-013,240.968,-8281.4,-7818.58,0,0,-0.163194,0.476391,-450,0,-0.101363
9.55e-013,231.812,-8257.85,-7812.62,0,0,-0.1622,0.479222,-455,0,-0.103626
9.6e-013,224.036,-8235.3,-7805.01,0,0,-0.160888,0.482065,-460,0,-0.105915
9.65e-013,218.287,-8216.53,-7797.28,0,0,-0.159257,0.484924,-465,0,-0.108229
9.7e-013,209.304,-8190.96,-7788.96,0,0,-0.157722,0.4878,-470,0,-0.110568
