step,T,Epot,Efull,SolventMolsThroughZ,SolventMolsThroughKlap,Klapan_Z,Solvent_Z,G,v_theor,v_pract
1.22e-012,65.2662,-8903.48,-8778.13,0,0,0.0323516,0.428,2.12549,0,0.00259416
1.225e-012,65.2013,-8898.48,-8773.26,0,0,0.0328221,0.429064,2.12549,0,0.00260479
1.23e-012,64.8747,-8893.38,-8768.78,0,0,0.0331982,0.430148,2.12549,0,0.00261542
1.235e-012,64.3366,-8886.99,-8763.43,0,0,0.0336761,0.431253,2.12549,0,0.00262604
1.24e-012,63.6597,-8879.9,-8757.64,0,0,0.0343272,0.432378,2.12549,0,0.00263667
1.245e-012,63.0382,-8872.42,-8751.35,0,0,0.034971,0.433526,2.12549,0,0.0026473
1.25e-012,62.5041,-8864.7,-8744.65,0,0,0.0355293,0.434697,2.12549,0,0.00265793
1.255e-012,63.5168,-8857.95,-8735.96,0,0,0.036167,0.435898,2.12549,0,0.00266855
1.26e-012,64.2422,-8851.26,-8727.87,0,0,0.0369303,0.437132,2.12549,0,0.00267918
1.265e-012,64.2936,-8844.49,-8721.01,0,0,0.0376147,0.438399,2.12549,0,0.00268981
1.27e-012,64.434,-8837.2,-8713.44,0,0,0.0381518,0.439697,2.12549,0,0.00270044
1.275e-012,63.8414,-8828.93,-8706.31,0,0,0.0387217,0.441028,2.12549,0,0.00271106
1.28e-012,63.8876,-8821.31,-8698.6,0,0,0.0393467,0.442393,2.12549,0,0.00272169
1.285e-012,63.8296,-8813.02,-8690.42,0,0,0.0398212,0.443792,2.12549,0,0.00273232
1.29e-012,64.8023,-8807.94,-8683.48,0,0,0.0401986,0.445228,2.12549,0,0.00274295
1.295e-012,65.8047,-8803.46,-8677.07,0,0,0.0408417,0.446694,2.12549,0,0.00275357
1.3e-012,67.0217,-8800.04,-8671.32,0,0,0.0418081,0.448188,2.12549,0,0.0027642
1.305e-012,69.2038,-8797.17,-8664.26,0,0,0.0426929,0.449708,2.12549,0,0.00277483
1.31e-012,70.693,-8794.44,-8658.66,0,0,0.0432631,0.451252,2.12549,0,0.00278545
1.315e-012,71.9686,-8792.22,-8653.99,0,0,0.0437742,0.452814,2.12549,0,0.00279608
1.32e-012,72.8569,-8790.5,-8650.57,0,0,0.044468,0.454392,2.12549,0,0.00280671
