t,temperature,ConvEKinTemp(ekin),sum_mom_xy,sum_vel[0],sum_vel[1],sum_vel[2],sum_vel_wk_up[0],sum_vel_wk_up[1],sum_vel_wk_up[2],sum_vel_wk_dw[0],sum_vel_wk_dw[1],sum_vel_wk_dw[2],sum_vel_up[0],sum_vel_up[1],sum_vel_up[2],sum_vel_dw[0],sum_vel_dw[1],sum_vel_dw[2],sum_f_wk_up[0],sum_f_wk_up[1],sum_f_wk_up[2],sum_f_wk_dw[0],sum_f_wk_dw[1],sum_f_wk_dw[2]
102.000000,295.000000,176.995598,0.313599,-19.723577,-28.392564,9.581935,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-41.351963,-39.637480,-20.582066,21.628385,11.244916,30.164001,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
104.000000,295.000000,139.605684,0.301665,35.200440,-46.606330,-20.256885,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-3.881829,-60.786626,-14.661308,39.082269,14.180296,-5.595577,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
106.000000,295.000000,183.082754,0.278607,30.156505,-69.167441,-0.263760,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-7.180561,-70.084491,-13.402985,37.337067,0.917050,13.139225,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
108.000000,295.000000,170.612393,0.257389,-31.139498,-66.954998,52.051728,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-40.214703,-50.174968,-11.466407,9.075205,-16.780030,63.518135,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
110.000000,295.000000,195.792931,0.243941,-50.020887,-49.163747,58.393341,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-44.565983,-34.698440,-6.431532,-5.454904,-14.465307,64.824874,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
112.000000,295.000000,167.321598,0.229934,1.682613,-46.208245,18.365752,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-12.043376,-47.793095,-2.517327,13.725989,1.584850,20.883080,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
114.000000,295.000000,172.671715,0.208366,34.133332,-63.800098,1.662370,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3.040163,-64.481174,-11.972725,31.093169,0.681075,13.635095,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
116.000000,295.000000,169.307642,0.189105,-5.721123,-76.521094,16.736242,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-25.921640,-59.458407,-30.011434,20.200517,-17.062687,46.747676,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
118.000000,295.000000,166.397493,0.184275,-38.922906,-69.220780,4.639048,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-49.534018,-42.637018,-43.829295,10.611112,-26.583763,48.468343,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
120.000000,295.000000,174.977547,0.189796,9.911671,-57.554970,-42.682152,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-17.257878,-44.677900,-43.184554,27.169549,-12.877070,0.502402,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
122.000000,295.000000,159.179386,0.194526,78.675023,-62.145953,-59.417900,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,33.464092,-58.280757,-41.181953,45.210931,-3.865196,-18.235947,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
124.000000,295.000000,172.182161,0.197050,67.082835,-77.613450,-15.984841,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,34.603015,-58.772616,-40.255554,32.479820,-18.840834,24.270713,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
126.000000,295.000000,152.498793,0.205562,2.368445,-78.780320,25.043323,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-10.005905,-46.419197,-27.933835,12.374350,-32.361123,52.977158,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
128.000000,295.000000,182.902659,0.224245,-16.389844,-60.071310,7.034741,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-31.982004,-42.326778,-11.664593,15.592160,-17.744532,18.699333,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
130.000000,295.000000,170.665571,0.246706,15.715795,-45.721628,-27.791214,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-7.047232,-53.599173,-14.178820,22.763027,7.877546,-13.612394,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
132.000000,295.000000,174.749199,0.261581,15.720409,-50.478777,-13.501149,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,9.648373,-62.867474,-31.302526,6.072036,12.388698,17.801377,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
134.000000,295.000000,162.936110,0.267390,-39.704858,-57.633535,17.823266,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-26.470587,-53.666877,-40.211697,-13.234271,-3.966658,58.034963,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
136.000000,295.000000,179.659330,0.271366,-70.774385,-46.993022,-4.177736,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-71.049671,-37.308571,-38.384018,0.275286,-9.684451,34.206282,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
138.000000,295.000000,190.807751,0.275409,-19.181490,-24.335589,-51.716575,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-52.105108,-31.796443,-39.225383,32.923618,7.460855,-12.491192,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
140.000000,295.000000,183.934686,0.274131,50.508210,-19.757694,-45.692708,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,8.505190,-36.189609,-41.800625,42.003020,16.431915,-3.892083,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
142.000000,295.000000,178.510223,0.266801,43.435024,-41.444623,-2.331500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,16.883674,-39.876512,-35.708012,26.551351,-1.568111,33.376512,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
144.000000,295.000000,171.175043,0.257695,-16.901803,-58.306429,0.688032,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-41.747723,-40.876242,-21.505177,24.845921,-17.430187,22.193209,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
146.000000,295.000000,176.872985,0.246307,-38.318174,-50.996698,-34.535174,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-76.905255,-45.161373,-5.761903,38.587081,-5.835325,-28.773271,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
148.000000,295.000000,170.076650,0.228785,-11.175763,-38.864062,-36.234291,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-40.273800,-50.098269,-7.028848,29.098037,11.234207,-29.205444,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
150.000000,295.000000,173.411646,0.206757,-3.433125,-37.902229,6.948684,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-2.014626,-47.603319,-19.428258,-1.418498,9.701089,26.376942,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
152.000000,295.000000,189.036788,0.187386,-36.873019,-35.220562,25.717996,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-29.859116,-34.077110,-24.454303,-7.013903,-1.143452,50.172299,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
154.000000,295.000000,177.895111,0.176154,-52.536475,-16.206852,-8.535962,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-77.352284,-13.752297,-23.288016,24.815809,-2.454554,14.752054,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
156.000000,295.000000,175.705378,0.170102,-8.280738,7.258711,-31.242340,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-57.273002,-1.937613,-30.577378,48.992264,9.196324,-0.664961,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
158.000000,295.000000,165.738932,0.162819,48.246753,6.156256,0.869757,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,11.853339,-7.053543,-35.828918,36.393413,13.209799,36.698675,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
160.000000,295.000000,194.817907,0.155937,48.227994,-24.628789,28.088245,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,25.212278,-20.464821,-29.430334,23.015717,-4.163968,57.518579,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
162.000000,295.000000,182.249438,0.158475,1.990409,-59.799694,-7.178144,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-37.841814,-36.783508,-20.982923,39.832223,-23.016186,13.804779,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
164.000000,295.000000,178.833478,0.174519,-27.034640,-82.776328,-55.075606,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-77.504662,-58.396788,-24.442990,50.470022,-24.379540,-30.632616,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
166.000000,295.000000,169.057259,0.197468,-14.763634,-99.854309,-38.863362,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-36.389999,-77.129438,-31.950048,21.626366,-22.724871,-6.913314,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
168.000000,295.000000,187.491141,0.218396,-0.250874,-115.160427,17.805539,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,6.711197,-85.187656,-21.335418,-6.962071,-29.972772,39.140957,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
170.000000,295.000000,198.970821,0.235296,-17.484103,-118.183576,28.880362,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-20.448826,-78.451754,-5.112132,2.964724,-39.731822,33.992495,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
172.000000,295.000000,178.085351,0.247029,-33.337514,-99.285875,-6.762114,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-68.999150,-68.911066,-9.931017,35.661635,-30.374809,3.168904,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
174.000000,295.000000,189.483093,0.249557,3.936886,-66.823905,-5.829437,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-46.562341,-60.004540,-24.404843,50.499228,-6.819366,18.575406,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
