step,T,sn_vel[0],sn_vel[1],sn_vel[2],sn_crd[0],sn_crd[1],sn_crd[2],sn_f[0],sn_f[1],sn_f[2],target_crd[0],target_crd[1],target_crd[2],boundary[0],boundary[1],boundary[2]
1100,339.469,0,0,0,-3.8743e-008,1.89651e-009,0.981818,0,0,0,-0.00176382,0.0550284,-0.0316001,0.642705,0.498673,1
1110,350.415,0,0,0,-3.8743e-008,1.89651e-009,0.981818,0,0,0,-0.0017416,0.0552413,-0.0308211,0.642679,0.499478,1
1120,352.238,0,0,0,-3.8743e-008,1.89651e-009,0.981818,0,0,0,-0.0015393,0.0548025,-0.0300253,0.642647,0.500229,1
1130,348.748,0,0,0,-3.8743e-008,1.89651e-009,0.981818,0,0,0,-0.00154834,0.0548019,-0.0298559,0.642609,0.500683,1
1140,344.93,0,0,0,-3.8743e-008,1.89651e-009,0.981818,0,0,0,-0.00155104,0.0552644,-0.0301076,0.64257,0.500977,1
1150,331.046,0,0,0,-3.8743e-008,1.89651e-009,0.981818,0,0,0,-0.00126637,0.0551265,-0.0303094,0.642557,0.501188,1
1160,315.408,0,0,0,-3.8743e-008,1.89651e-009,0.981818,0,0,0,-0.000757071,0.0544802,-0.0304014,0.642543,0.501209,1
1170,300.625,0,0,0,-3.8743e-008,1.89651e-009,0.981818,0,0,0,-0.000374675,0.0545441,-0.0307937,0.642543,0.501209,1
1180,291.557,0,0,0,-3.8743e-008,1.89651e-009,0.981818,0,0,0,-9.42229e-005,0.0549628,-0.0313175,0.642543,0.501209,1
1190,291.027,0,0,0,-3.8743e-008,1.89651e-009,0.981818,0,0,0,-0.000173736,0.0549239,-0.0314568,0.642543,0.501209,1
1200,295.371,0,0,0,-3.8743e-008,1.89651e-009,0.981818,0,0,0,-0.000751194,0.0546961,-0.0311295,0.642543,0.501209,1
1210,304.156,0,0,0,-3.8743e-008,1.89651e-009,0.981818,0,0,0,-0.00183688,0.0551102,-0.0309635,0.642543,0.501209,1
1220,310.625,0,0,0,-3.8743e-008,1.89651e-009,0.981818,0,0,0,-0.00265416,0.0553559,-0.0311308,0.642489,0.501259,1
1230,319.73,0,0,0,-3.8743e-008,1.89651e-009,0.981818,0,0,0,-0.00317463,0.0549449,-0.0311814,0.642212,0.501498,1
1240,325.191,0,0,0,-3.8743e-008,1.89651e-009,0.981818,0,0,0,-0.00361587,0.0545025,-0.0309631,0.641906,0.501743,1
1250,321.912,0,0,0,-3.8743e-008,1.89651e-009,0.981818,0,0,0,-0.00420778,0.0548609,-0.0309744,0.641599,0.501973,1
1260,313.103,0,0,0,-3.8743e-008,1.89651e-009,0.981818,0,0,0,-0.00430507,0.0553859,-0.0311779,0.641219,0.502243,1
1270,292.706,0,0,0,-3.8743e-008,1.89651e-009,0.981818,0,0,0,-0.00417316,0.0558967,-0.0312387,0.641039,0.502357,1
1280,266.951,0,0,0,-3.8743e-008,1.89651e-009,0.981818,0,0,0,-0.00404268,0.0567191,-0.0310723,0.641039,0.502357,1
1290,240.266,0,0,0,-3.8743e-008,1.89651e-009,0.981818,0,0,0,-0.00412784,0.057741,-0.0311755,0.641039,0.502357,1
1300,221.449,0,0,0,-3.8743e-008,1.89651e-009,0.981818,0,0,0,-0.00423749,0.0580013,-0.0315449,0.641039,0.502357,1
1310,206.888,0,0,0,-3.8743e-008,1.89651e-009,0.981818,0,0,0,-0.00485227,0.0575926,-0.0318623,0.641039,0.502357,1
1320,201.769,0,0,0,-3.8743e-008,1.89651e-009,0.981818,0,0,0,-0.00546954,0.0570725,-0.0318812,0.641039,0.502357,1
1330,197.396,0,0,0,-3.8743e-008,1.89651e-009,0.981818,0,0,0,-0.00550627,0.056526,-0.0321864,0.641039,0.502357,1
1340,219.336,0,0,0,-3.8743e-008,1.89651e-009,0.981818,0,0,0,-0.00511742,0.0558181,-0.0330328,0.641039,0.502357,1
1350,250.554,0,0,0,-3.8743e-008,1.89651e-009,0.981818,0,0,0,-0.00525918,0.0554856,-0.0340201,0.641039,0.502357,1
1360,295.79,0,0,0,-3.8743e-008,1.89651e-009,0.981818,0,0,0,-0.00552505,0.05563,-0.0344828,0.641039,0.502357,1
1370,336.69,0,0,0,-3.8743e-008,1.89651e-009,0.981818,0,0,0,-0.0053917,0.0555743,-0.0347158,0.641039,0.502357,1
