tor1(deg),E(kJ/mol)
-0.350301,0.106104
-0.357773,0.099784
-0.362241,0.093614
-0.366666,0.087517
-0.370279,0.080908
-0.375111,0.075124
-0.380140,0.068855
-0.384447,0.060249
-0.387591,0.053875
-0.390435,0.049330
-0.392714,0.044063
-0.388372,0.038378
-0.382679,0.033586
-0.374346,0.032931
-0.365799,0.033324
-0.356742,0.034482
-0.347429,0.034243
-0.338070,0.036417
-0.330150,0.040354
-0.319985,0.042291
-0.309269,0.048407
-0.300864,0.055780
-0.294229,0.063865
-0.287611,0.073131
-0.283357,0.077503
-0.280908,0.084454
-0.275403,0.089738
-0.269604,0.092227
-0.265368,0.093998
-0.260180,0.098977
-0.251779,0.103267
-0.246557,0.110744
-0.243846,0.115302
-0.243200,0.123043
-0.243292,0.129276
-0.244840,0.134752
-0.243459,0.136146
-0.241813,0.138066
-0.239679,0.142011
-0.235779,0.143658
-0.234731,0.144374
-0.232873,0.144947
-0.233055,0.147291
-0.233877,0.147073
-0.235722,0.144082
-0.238652,0.142181
-0.241591,0.143678
-0.243284,0.143309
-0.244538,0.141893
-0.244193,0.142229
-0.243956,0.140891
-0.241656,0.138759
-0.241855,0.137802
-0.242244,0.135582
-0.245391,0.132859
-0.248186,0.130437
-0.253656,0.128541
-0.257236,0.128179
-0.261765,0.127864
-0.266545,0.130888
-0.272104,0.134104
-0.275666,0.135367
-0.280613,0.137356
-0.285848,0.136952
-0.290979,0.137008
-0.297327,0.138624
-0.302354,0.139673
-0.308120,0.138498
-0.315903,0.135608
-0.321340,0.129624
-0.326003,0.122883
-0.328520,0.118407
-0.330018,0.116355
-0.336448,0.113262
-0.342232,0.109435
-0.346961,0.108674
-0.352204,0.111125
-0.357179,0.111449
-0.361853,0.108581
-0.366464,0.112638
-0.371287,0.119864
-0.372970,0.125800
-0.375145,0.130864
-0.377593,0.136442
-0.380069,0.143550
-0.383351,0.149776
-0.387278,0.154124
-0.389170,0.157853
-0.392268,0.159508
-0.396219,0.161809
-0.400093,0.161178
-0.401810,0.160850
-0.403083,0.157673
-0.401059,0.154626
-0.399858,0.150467
-0.393840,0.147992
-0.387047,0.147622
-0.380566,0.146513
-0.375101,0.146013
-0.366875,0.143952
-0.359537,0.140518
-0.354573,0.139166
-0.348678,0.134493
-0.343105,0.129422
-0.336764,0.123488
-0.329265,0.114800
-0.324387,0.107801
-0.320973,0.104239
-0.317036,0.100741
-0.313990,0.096332
-0.308382,0.090015
-0.303926,0.085757
-0.301974,0.082006
-0.298594,0.076822
-0.299184,0.073129
-0.299033,0.068769
-0.300428,0.067898
-0.299739,0.069078
-0.298510,0.071607
-0.296643,0.079085
-0.298227,0.087784
-0.303052,0.099525
-0.307785,0.107334
-0.309796,0.113742
-0.312380,0.115951
-0.316540,0.117962
-0.320967,0.120444
-0.322225,0.123466
-0.320870,0.128477
-0.318493,0.132826
-0.317433,0.138710
-0.313908,0.142480
-0.312071,0.146954
-0.308841,0.151330
-0.307608,0.156244
-0.308312,0.159720
-0.309952,0.160119
-0.309128,0.157801
-0.307310,0.156071
-0.305780,0.152955
-0.305635,0.149610
-0.306859,0.147961
-0.305399,0.145218
-0.305090,0.140499
-0.302725,0.138740
-0.300576,0.137109
-0.298704,0.131169
-0.298361,0.127640
-0.300492,0.122056
-0.302542,0.118957
-0.306204,0.114725
-0.307566,0.109844
-0.312636,0.105451
-0.313835,0.102170
-0.316111,0.098961
-0.315042,0.099215
-0.315009,0.099505
-0.315412,0.098161
-0.313204,0.097794
-0.312256,0.098198
-0.310480,0.099040
-0.309230,0.101549
-0.306497,0.103140
-0.306446,0.107683
-0.308055,0.113910
-0.312296,0.118628
-0.318519,0.124236
-0.323988,0.128855
-0.331491,0.133299
-0.339789,0.136639
-0.347759,0.138164
-0.354899,0.142761
-0.361557,0.148374
-0.366635,0.150131
-0.373421,0.152104
-0.377419,0.151564
-0.381862,0.150260
-0.383860,0.149910
-0.386019,0.147754
-0.385430,0.143221
-0.386107,0.142855
-0.387333,0.142688
-0.386235,0.141777
-0.383210,0.137386
-0.378191,0.133838
-0.372004,0.127587
-0.365518,0.121563
-0.362494,0.119656
-0.354626,0.115559
-0.346788,0.111378
-0.337327,0.109726
-0.328218,0.106393
-0.319682,0.102855
-0.312592,0.101762
-0.306967,0.103661
-0.301732,0.108521
-0.295678,0.111539
-0.290157,0.114266
-0.286638,0.117972
-0.285214,0.120235
-0.284618,0.121345
-0.284041,0.118948
-0.281736,0.116918
-0.276715,0.116347
-0.273489,0.115942
-0.269332,0.115856
-0.262539,0.113527
-0.259373,0.114268
-0.257149,0.116842
-0.252818,0.119925
-0.247141,0.122903
-0.243126,0.125876
-0.241736,0.130150
-0.240724,0.134230
-0.240446,0.138105
-0.239049,0.141594
-0.238245,0.142037
-0.238965,0.145377
-0.239430,0.150972
-0.241125,0.156901
-0.241192,0.159945
-0.242640,0.162668
-0.244125,0.164424
-0.246282,0.166924
-0.247407,0.165725
-0.252291,0.164778
-0.259218,0.164335
-0.263007,0.163077
-0.264340,0.161745
-0.268932,0.162290
-0.275583,0.160187
-0.281407,0.158698
-0.288296,0.156073
-0.295334,0.150853
-0.302357,0.145244
-0.306895,0.139712
-0.312747,0.136322
-0.315566,0.132803
-0.317878,0.129416
-0.320156,0.128342
-0.323402,0.128271
-0.323971,0.125967
-0.324403,0.124119
-0.324225,0.125603
-0.321786,0.130670
-0.320610,0.134491
-0.318695,0.137268
-0.317280,0.139430
-0.315457,0.143036
-0.313488,0.145704
-0.312969,0.147570
-0.310715,0.148005
-0.308652,0.152510
-0.304480,0.155793
-0.300533,0.155828
-0.300585,0.158871
-0.302502,0.158645
-0.304385,0.164055
-0.302093,0.167757
-0.300159,0.169922
