step,T,rz,Epot,prob_atom_crd[0],prob_atom_crd[1],prob_atom_crd[2],prob_atom_f[0],prob_atom_f[1],prob_atom_f[2],target_crd[0],target_crd[1],target_crd[2]
880,0.126968,-0.38,-1647.87,0.0444679,-2.61127e-006,-0.387039,-0.00248221,0.000604994,8.61492,0.0444679,-2.61127e-006,-0.0070391
890,0.119836,-0.39,-1647.78,0.0444681,-2.49368e-006,-0.397054,-0.00229716,0.000663665,8.02072,0.0444681,-2.49368e-006,-0.00705422
900,0.102528,-0.4,-1647.55,0.0444682,-2.4138e-006,-0.407072,-0.00200289,0.000672363,6.79941,0.0444682,-2.4138e-006,-0.00707233
910,0.0784631,-0.41,-1647.4,0.0444681,-2.43431e-006,-0.417095,-0.00174373,0.000662152,5.96965,0.0444681,-2.43431e-006,-0.0070947
920,0.0533142,-0.42,-1647.32,0.044468,-2.44574e-006,-0.427122,-0.00158567,0.000664205,5.50946,0.044468,-2.44574e-006,-0.00712225
930,0.0330484,-0.43,-1647.24,0.0444684,-2.32483e-006,-0.437154,-0.00143191,0.000656275,5.08045,0.0444684,-2.32483e-006,-0.00715426
940,0.0221684,-0.44,-1647.18,0.0444686,-2.16701e-006,-0.447189,-0.0012797,0.000639386,4.68152,0.0444686,-2.16701e-006,-0.00718856
950,0.0222001,-0.45,-1647.14,0.0444685,-2.12003e-006,-0.457223,-0.00113203,0.000614409,4.3114,0.0444685,-2.12003e-006,-0.00722262
960,0.0317492,-0.46,-1647.11,0.0444685,-2.18183e-006,-0.467254,-0.000996522,0.000583579,3.96875,0.0444685,-2.18183e-006,-0.00725446
970,0.0474228,-0.47,-1647.08,0.0444687,-2.30934e-006,-0.477283,-0.000880707,0.000549155,3.65213,0.0444687,-2.30934e-006,-0.00728298
980,0.0651823,-0.48,-1647.07,0.0444686,-2.54795e-006,-0.487308,-0.000781704,0.00051273,3.36003,0.0444686,-2.54795e-006,-0.00730789
990,0.081319,-0.49,-1647.05,0.0444684,-2.87562e-006,-0.497329,-0.000688762,0.000475989,3.09086,0.0444684,-2.87562e-006,-0.00732942
