step,T,Epot,Efull,SolventMolsThroughZ,SolventMolsThroughKlap,Z_Klap,G,v
9.15e-013,68.964,-8339.67,-8203.77,1,2,-0.0149715,8.22972,-0.100506
9.2e-013,70.1775,-8340,-8201.72,1,2,-0.0146875,8.27358,-0.100465
9.25e-013,71.6184,-8342.27,-8201.14,1,2,-0.0143212,8.31743,-0.100423
9.3e-013,72.4171,-8343.6,-8200.9,1,2,-0.0141707,8.36125,-0.100381
9.35e-013,73.3665,-8346.51,-8201.94,1,2,-0.0140769,8.40506,-0.10034
9.4e-013,73.998,-8348.88,-8203.07,1,2,-0.0137119,8.44885,-0.100297
9.45e-013,74.4746,-8350.91,-8204.15,1,2,-0.0132445,8.49262,-0.100255
9.5e-013,74.7798,-8353.4,-8206.04,1,2,-0.0129787,8.53637,-0.100212
9.55e-013,76.0549,-8354.97,-8205.1,1,2,-0.012746,8.5801,-0.10017
9.6e-013,76.9429,-8357.04,-8205.42,1,2,-0.0122907,8.62382,-0.100127
9.65e-013,76.9834,-8357.66,-8205.96,1,2,-0.0117963,8.66751,-0.100083
9.7e-013,77.3767,-8359,-8206.53,1,2,-0.0114952,8.71119,-0.10004
9.75e-013,76.9431,-8359.56,-8207.94,1,2,-0.0112234,8.75484,-0.0999963
9.8e-013,76.869,-8359.65,-8208.18,1,2,-0.0107976,8.79848,-0.0999525
9.85e-013,76.035,-8358.52,-8208.69,1,2,-0.0103893,8.8421,-0.0999084
9.9e-013,75.8299,-8357.69,-8208.27,1,2,-0.0101833,8.8857,-0.099864
9.95e-013,75.1655,-8356.07,-8207.96,1,2,-0.0100518,8.92928,-0.0998195
1e-012,75.4318,-8356.41,-8207.76,1,2,-0.00983142,8.97284,-0.0997747
1.005e-012,76.6511,-8356.01,-8204.96,1,2,-0.00961202,9.01638,-0.0997298
1.01e-012,77.8416,-8356.07,-8202.68,1,2,-0.00954735,9.05991,-0.0996846
1.015e-012,78.3304,-8355.65,-8201.29,1,2,-0.00959972,9.10341,-0.0996392
1.02e-012,78.9676,-8358.68,-8203.07,1,2,-0.00965847,9.14689,-0.0995935
1.025e-012,78.8734,-8359.85,-8204.42,1,2,-0.0097789,9.19035,-0.0995477
1.03e-012,79.0503,-8360.23,-8204.46,1,2,-0.0100949,9.23379,-0.0995016
1.035e-012,78.5816,-8358.25,-8203.4,1,2,-0.0105399,9.27721,-0.0994554
1.04e-012,78.4254,-8356.68,-8202.14,1,2,-0.0109145,9.32062,-0.0994089
1.045e-012,77.6029,-8354.37,-8201.45,1,2,-0.0112661,9.364,-0.0993622
1.05e-012,77.0301,-8352.02,-8200.22,1,2,-0.0118667,9.40736,-0.0993152
1.055e-012,76.7774,-8346.8,-8195.51,1,2,-0.0127193,9.4507,-0.0992681
1.06e-012,75.5653,-8339.23,-8190.32,1,2,-0.0134893,9.49402,-0.0992207
1.065e-012,72.7863,-8326.52,-8183.09,1,2,-0.0140476,9.53732,-0.0991731
1.07e-012,70.6254,-8313.65,-8174.48,1,2,-0.0146154,9.58059,-0.0991254
1.075e-012,69.3458,-8300.78,-8164.13,1,2,-0.0152599,9.62385,-0.0990773
1.08e-012,71.2394,-8294.12,-8153.74,1,2,-0.0157829,9.66709,-0.0990291
1.085e-012,74.1481,-8291.28,-8145.17,1,2,-0.016184,9.7103,-0.0989807
1.09e-012,77.9193,-8292.34,-8138.8,1,2,-0.0166678,9.7535,-0.098932
1.095e-012,79.2432,-8290.43,-8134.27,1,2,-0.0171595,9.79667,-0.0988831
1.1e-012,80.4621,-8289.76,-8131.2,1,2,-0.0173657,9.83982,-0.098834
1.105e-012,82.5087,-8289.2,-8126.61,1,2,-0.0172439,9.88295,-0.0987847
1.11e-012,85.0018,-8291.87,-8124.37,1,2,-0.0169516,9.92606,-0.0987352
1.115e-012,87.6068,-8295.29,-8122.66,1,2,-0.0165253,9.96914,-0.0986855
1.12e-012,90.3471,-8302.02,-8123.99,1,2,-0.0159908,10.0122,-0.0986355
1.125e-012,93.0666,-8310.65,-8127.25,1,2,-0.0155333,10.0553,-0.0985854
1.13e-012,94.7208,-8316.67,-8130.02,1,2,-0.0152696,10.0983,-0.098535
1.135e-012,96.2377,-8324.89,-8135.25,1,2,-0.0151196,10.1413,-0.0984844
1.14e-012,96.6423,-8331.93,-8141.49,1,2,-0.0150215,10.1842,-0.0984336
1.145e-012,97.3228,-8339.3,-8147.52,1,2,-0.0149876,10.2272,-0.0983825
1.15e-012,97.6942,-8346.71,-8154.2,1,2,-0.0149705,10.2701,-0.0983313
1.155e-012,99.1772,-8354.73,-8159.3,1,2,-0.0149515,10.313,-0.0982798
1.16e-012,99.8037,-8361.53,-8164.87,1,2,-0.0150396,10.3559,-0.0982282
1.165e-012,99.4087,-8366.44,-8170.55,1,2,-0.0152272,10.3988,-0.0981763
1.17e-012,98.2401,-8368.36,-8174.78,1,2,-0.01528,10.4416,-0.0981242
