step,T,sn_vel[0],sn_vel[1],sn_vel[2],sn_crd[0],sn_crd[1],sn_crd[2],sn_f[0],sn_f[1],sn_f[2],target_crd[0],target_crd[1],target_crd[2],boundary[0],boundary[1],boundary[2]
860,181.549,0,0,0,-2.07262e-008,1.13791e-008,0.981818,0,0,0,0.00312932,0.0556679,-0.0326088,0.644199,0.494833,1
870,175.984,0,0,0,-2.07262e-008,1.13791e-008,0.981818,0,0,0,0.00281986,0.0554096,-0.0330927,0.644199,0.494833,1
880,172.514,0,0,0,-2.07262e-008,1.13791e-008,0.981818,0,0,0,0.00265,0.0550698,-0.0335898,0.644199,0.494833,1
890,169.91,0,0,0,-2.07262e-008,1.13791e-008,0.981818,0,0,0,0.00253852,0.054708,-0.0340202,0.644199,0.494833,1
900,169.69,0,0,0,-2.07262e-008,1.13791e-008,0.981818,0,0,0,0.00240502,0.0544158,-0.034313,0.644199,0.494833,1
910,181.687,0,0,0,-2.07262e-008,1.13791e-008,0.981818,0,0,0,0.00230444,0.0542375,-0.0345627,0.644199,0.494833,1
920,197.911,0,0,0,-2.07262e-008,1.13791e-008,0.981818,0,0,0,0.00237008,0.054172,-0.0347109,0.644199,0.494833,1
930,218.364,0,0,0,-2.07262e-008,1.13791e-008,0.981818,0,0,0,0.00237413,0.0540317,-0.0347779,0.644199,0.494833,1
940,239.089,0,0,0,-2.07262e-008,1.13791e-008,0.981818,0,0,0,0.00233711,0.0538879,-0.0348044,0.644199,0.494833,1
950,254.976,0,0,0,-2.07262e-008,1.13791e-008,0.981818,0,0,0,0.00247327,0.0538978,-0.0348541,0.644199,0.494833,1
960,263.565,0,0,0,-2.07262e-008,1.13791e-008,0.981818,0,0,0,0.00282273,0.0540633,-0.0347814,0.644199,0.494833,1
970,268.234,0,0,0,-2.07262e-008,1.13791e-008,0.981818,0,0,0,0.00308097,0.054248,-0.034423,0.644199,0.494833,1
980,271.61,0,0,0,-2.07262e-008,1.13791e-008,0.981818,0,0,0,0.00336572,0.0544293,-0.0337383,0.644199,0.494833,1
990,276.836,0,0,0,-2.07262e-008,1.13791e-008,0.981818,0,0,0,0.00387334,0.0546099,-0.0327923,0.644199,0.494833,1
1000,283.369,0,0,0,-2.07262e-008,1.13791e-008,0.981818,0,0,0,0.00447418,0.054744,-0.0315486,0.642843,0.494456,1
1010,303.304,0,0,0,-2.07262e-008,1.13791e-008,0.981818,0,0,0,0.00482392,0.0548635,-0.0299669,0.641946,0.494312,1
1020,317.465,0,0,0,-2.07262e-008,1.13791e-008,0.981818,0,0,0,0.00499561,0.0550082,-0.0282811,0.64085,0.494136,1
1030,334.51,0,0,0,-2.07262e-008,1.13791e-008,0.981818,0,0,0,0.00504731,0.0551878,-0.0266729,0.640724,0.494028,1
1040,349.7,0,0,0,-2.07262e-008,1.13791e-008,0.981818,0,0,0,0.00490103,0.055268,-0.0250218,0.640437,0.49384,1
1050,363.413,0,0,0,-2.07262e-008,1.13791e-008,0.981818,0,0,0,0.0047411,0.0553102,-0.0231356,0.640178,0.493729,1
1060,376.133,0,0,0,-2.07262e-008,1.13791e-008,0.981818,0,0,0,0.00503213,0.0554099,-0.0212363,0.640178,0.493729,1
1070,383.76,0,0,0,-2.07262e-008,1.13791e-008,0.981818,0,0,0,0.0056575,0.0555274,-0.0195602,0.639977,0.493752,1
1080,387.447,0,0,0,-2.07262e-008,1.13791e-008,0.981818,0,0,0,0.00610163,0.0553781,-0.0181977,0.639605,0.493828,1
1090,390.169,0,0,0,-2.07262e-008,1.13791e-008,0.981818,0,0,0,0.00629537,0.0550567,-0.0170467,0.639118,0.493949,1
1100,391.27,0,0,0,-2.07262e-008,1.13791e-008,0.981818,0,0,0,0.00641631,0.0547324,-0.0161758,0.638576,0.494096,1
1110,383.69,0,0,0,-2.07262e-008,1.13791e-008,0.981818,0,0,0,0.0063255,0.0545314,-0.015592,0.63787,0.494288,1
1120,369.983,0,0,0,-2.07262e-008,1.13791e-008,0.981818,0,0,0,0.00593514,0.0544649,-0.0152669,0.637108,0.494497,1
1130,357.581,0,0,0,-2.07262e-008,1.13791e-008,0.981818,0,0,0,0.00567144,0.0547468,-0.0149545,0.636599,0.494654,1
1140,345.278,0,0,0,-2.07262e-008,1.13791e-008,0.981818,0,0,0,0.005635,0.0551498,-0.0147331,0.636388,0.494733,1
1150,335.39,0,0,0,-2.07262e-008,1.13791e-008,0.981818,0,0,0,0.00543182,0.0553084,-0.0146579,0.636319,0.494762,1
1160,329.36,0,0,0,-2.07262e-008,1.13791e-008,0.981818,0,0,0,0.00494521,0.055057,-0.0146803,0.636319,0.494762,1
1170,322.711,0,0,0,-2.07262e-008,1.13791e-008,0.981818,0,0,0,0.00474441,0.054819,-0.0145469,0.636319,0.494762,1
1180,316.122,0,0,0,-2.07262e-008,1.13791e-008,0.981818,0,0,0,0.0049002,0.0547902,-0.0144361,0.636319,0.494762,1
1190,308.697,0,0,0,-2.07262e-008,1.13791e-008,0.981818,0,0,0,0.00504394,0.0549138,-0.014428,0.636319,0.494762,1
1200,306.369,0,0,0,-2.07262e-008,1.13791e-008,0.981818,0,0,0,0.00498399,0.0549086,-0.0145105,0.636319,0.494762,1
1210,315.156,0,0,0,-2.07262e-008,1.13791e-008,0.981818,0,0,0,0.00494136,0.054764,-0.0144997,0.636319,0.494762,1
1220,330.884,0,0,0,-2.07262e-008,1.13791e-008,0.981818,0,0,0,0.00477369,0.0543363,-0.0145843,0.636319,0.494762,1
1230,348.07,0,0,0,-2.07262e-008,1.13791e-008,0.981818,0,0,0,0.00452469,0.053628,-0.014857,0.636319,0.494762,1
1240,353.85,0,0,0,-2.07262e-008,1.13791e-008,0.981818,0,0,0,0.00427781,0.0529416,-0.0153618,0.636319,0.494762,1
1250,340.618,0,0,0,-2.07262e-008,1.13791e-008,0.981818,0,0,0,0.00398552,0.0527673,-0.0159592,0.636319,0.494762,1
1260,316.155,0,0,0,-2.07262e-008,1.13791e-008,0.981818,0,0,0,0.00343425,0.0529696,-0.0169319,0.636259,0.494823,1
1270,289.827,0,0,0,-2.07262e-008,1.13791e-008,0.981818,0,0,0,0.00295045,0.0531536,-0.018385,0.636158,0.49493,1
1280,275.107,0,0,0,-2.07262e-008,1.13791e-008,0.981818,0,0,0,0.00279944,0.0532038,-0.0201379,0.636003,0.495108,1
1290,276.245,0,0,0,-2.07262e-008,1.13791e-008,0.981818,0,0,0,0.00285418,0.0533003,-0.0218431,0.635885,0.495256,1
1300,278.709,0,0,0,-2.07262e-008,1.13791e-008,0.981818,0,0,0,0.00269107,0.0534041,-0.0237173,0.635806,0.495368,1
1310,277.217,0,0,0,-2.07262e-008,1.13791e-008,0.981818,0,0,0,0.00237043,0.0535008,-0.0258006,0.635763,0.495467,1
1320,275.434,0,0,0,-2.07262e-008,1.13791e-008,0.981818,0,0,0,0.00218602,0.0536234,-0.0279637,0.635737,0.495557,1
1330,276.504,0,0,0,-2.07262e-008,1.13791e-008,0.981818,0,0,0,0.00224242,0.0538503,-0.0300384,0.635673,0.495808,1
1340,286.958,0,0,0,-2.07262e-008,1.13791e-008,0.981818,0,0,0,0.00231606,0.0542038,-0.0321921,0.635571,0.49618,1
