step	T	Epot	Efull	E_solute	E_solvent	E_solusolv	NThrouZ	NThrouZmin	NThrouZmax	
3180	183.119	-2513.59	-2390.26	-2513.59	0	0	0	0	0	
3190	177.752	-2508.45	-2388.74	-2508.45	0	0	0	0	0	
3200	172.057	-2501.46	-2385.58	-2501.46	0	0	0	0	0	
3210	165.519	-2491.11	-2379.63	-2491.11	0	0	0	0	0	
3220	156.42	-2476.71	-2371.36	-2476.71	0	0	0	0	0	
3230	161.065	-2470.69	-2362.21	-2470.69	0	0	0	0	0	
3240	170.295	-2469.75	-2355.06	-2469.75	0	0	0	0	0	
3250	189.985	-2480.15	-2352.2	-2480.15	0	0	0	0	0	
3260	212.355	-2497.77	-2354.76	-2497.77	0	0	0	0	0	
3270	215.807	-2505.83	-2360.49	-2505.83	0	0	0	0	0	
3280	212.742	-2509.47	-2366.19	-2509.47	0	0	0	0	0	
3290	203.29	-2507.79	-2370.88	-2507.79	0	0	0	0	0	
3300	190.638	-2501.07	-2372.68	-2501.07	0	0	0	0	0	
3310	181.791	-2492.72	-2370.29	-2492.72	0	0	0	0	0	
3320	179.102	-2486.14	-2365.52	-2486.14	0	0	0	0	0	
3330	178.524	-2480.25	-2360.02	-2480.25	0	0	0	0	0	
3340	185.796	-2481.5	-2356.37	-2481.5	0	0	0	0	0	
3350	181.498	-2475.53	-2353.3	-2475.53	0	0	0	0	0	
3360	190.362	-2477.9	-2349.7	-2477.9	0	0	0	0	0	
3370	193.579	-2478.58	-2348.21	-2478.58	0	0	0	0	0	
3380	197.028	-2480.41	-2347.71	-2480.41	0	0	0	0	0	
3390	202.69	-2484.38	-2347.87	-2484.38	0	0	0	0	0	
3400	202.524	-2486.04	-2349.65	-2486.04	0	0	0	0	0	
3410	202.817	-2486.35	-2349.76	-2486.35	0	0	0	0	0	
3420	207.402	-2490.05	-2350.37	-2490.05	0	0	0	0	0	
3430	204.353	-2488.45	-2350.82	-2488.45	0	0	0	0	0	
3440	210.837	-2493.76	-2351.76	-2493.76	0	0	0	0	0	
3450	216.572	-2500.2	-2354.34	-2500.2	0	0	0	0	0	
3460	217.354	-2504.39	-2358.01	-2504.39	0	0	0	0	0	
3470	223.594	-2512.59	-2362	-2512.59	0	0	0	0	0	
3480	226.02	-2519.64	-2367.43	-2519.64	0	0	0	0	0	
3490	224.492	-2524.42	-2373.23	-2524.42	0	0	0	0	0	
3500	223.986	-2529.3	-2378.45	-2529.3	0	0	0	0	0	
3510	212.319	-2524.15	-2381.16	-2524.15	0	0	0	0	0	
3520	198.915	-2513.98	-2380.02	-2513.98	0	0	0	0	0	
3530	194.474	-2507.16	-2376.19	-2507.16	0	0	0	0	0	
3540	189.288	-2499.19	-2371.71	-2499.19	0	0	0	0	0	
3550	190.416	-2494.94	-2366.7	-2494.94	0	0	0	0	0	
3560	194.766	-2494.02	-2362.85	-2494.02	0	0	0	0	0	
3570	192.593	-2488.39	-2358.68	-2488.39	0	0	0	0	0	
3580	197.577	-2487.73	-2354.67	-2487.73	0	0	0	0	0	
3590	209.627	-2494.27	-2353.09	-2494.27	0	0	0	0	0	
3600	209.765	-2494.68	-2353.41	-2494.68	0	0	0	0	0	
3610	209.611	-2493.23	-2352.06	-2493.23	0	0	0	0	0	
3620	192.779	-2478.69	-2348.86	-2478.69	0	0	0	0	0	
3630	181.248	-2462.84	-2340.77	-2462.84	0	0	0	0	0	
3640	185.47	-2457.28	-2332.37	-2457.28	0	0	0	0	0	
3650	196.448	-2458.7	-2326.4	-2458.7	0	0	0	0	0	
3660	211.602	-2465.63	-2323.13	-2465.63	0	0	0	0	0	
3670	211.919	-2465.64	-2322.91	-2465.64	0	0	0	0	0	
3680	193.596	-2449.63	-2319.24	-2449.63	0	0	0	0	0	
3690	184.877	-2436.8	-2312.29	-2436.8	0	0	0	0	0	
3700	177.715	-2422.77	-2303.09	-2422.77	0	0	0	0	0	
3710	178.905	-2412.49	-2292	-2412.49	0	0	0	0	0	
3720	202.548	-2419.63	-2283.22	-2419.63	0	0	0	0	0	
3730	221.978	-2429.95	-2280.45	-2429.95	0	0	0	0	0	
3740	244.055	-2447.24	-2282.88	-2447.24	0	0	0	0	0	
3750	252.482	-2460.08	-2290.04	-2460.08	0	0	0	0	0	
3760	253.636	-2468.33	-2297.52	-2468.33	0	0	0	0	0	
3770	252.721	-2476.05	-2305.84	-2476.05	0	0	0	0	0	
3780	234.868	-2469.41	-2311.23	-2469.41	0	0	0	0	0	
3790	209.954	-2452.57	-2311.17	-2452.57	0	0	0	0	0	
3800	199.509	-2440.1	-2305.73	-2440.1	0	0	0	0	0	
3810	199.316	-2432.25	-2298.02	-2432.25	0	0	0	0	0	
