step,T,Epot,Efull,SolventMolsThroughZ,
1.635e-012,184.307,-2050.62,-1579.4,-1347440984,
1.64e-012,190.674,-2064.91,-1577.41,2105375861,
1.645e-012,190.878,-2065.31,-1577.29,1263225410,
1.65e-012,195.282,-2078.73,-1579.45,421074959,
1.655e-012,206.081,-2110.73,-1583.84,-421075492,
1.66e-012,194.181,-2083.02,-1586.55,-1263225943,
1.665e-012,192.641,-2071.51,-1578.98,-2105376394,
1.67e-012,187.631,-2047.22,-1567.5,1347440451,
1.675e-012,193.537,-2054.48,-1559.66,505290000,
1.68e-012,191.809,-2044.23,-1553.83,-336860451,
1.685e-012,206.048,-2079.81,-1553.01,-1179010902,
1.69e-012,200.241,-2074.91,-1562.96,-2021161353,
1.695e-012,196.548,-2066.26,-1563.74,1431655492,
1.7e-012,182.108,-2027.04,-1561.44,589505041,
1.705e-012,192.392,-2039.4,-1547.51,-252645410,
1.71e-012,187.893,-2018.34,-1537.96,-1094795861,
1.715e-012,206.44,-2062.06,-1534.25,-1936946312,
1.72e-012,200.101,-2046.18,-1534.58,1515870533,
1.725e-012,209.344,-2069.75,-1534.51,673720082,
1.73e-012,205.443,-2063.07,-1537.81,-168430369,
1.735e-012,204.973,-2056.36,-1532.31,-1010580820,
1.74e-012,218.81,-2099.32,-1539.89,-1852731271,
1.745e-012,211.303,-2086.38,-1546.14,1600085574,
1.75e-012,205.151,-2075.54,-1551.03,757935123,
1.755e-012,210.483,-2084.46,-1546.31,-84215328,
1.76e-012,206.827,-2074.8,-1546,-926365779,
1.765e-012,200.717,-2051.95,-1538.78,-1768516230,
1.77e-012,211.911,-2074.92,-1533.13,1684300615,
1.775e-012,209.115,-2067.67,-1533.03,842150164,
1.78e-012,217.391,-2088.76,-1532.95,-287,
1.785e-012,211.944,-2075.62,-1533.73,-842150738,
1.79e-012,216.842,-2089.02,-1534.61,-1684301189,
1.795e-012,208.45,-2067.65,-1534.7,1768515656,
1.8e-012,211.86,-2073.51,-1531.85,926365205,
1.805e-012,204.034,-2042.12,-1520.46,84214754,
1.81e-012,213.53,-2055.97,-1510.03,-757935697,
1.815e-012,211.127,-2046.87,-1507.08,-1600086148,
1.82e-012,215.468,-2056.34,-1505.45,1852730697,
1.825e-012,203.676,-2023.37,-1502.63,1010580246,
1.83e-012,210.574,-2033.21,-1494.84,168429795,
1.835e-012,207.502,-2024.14,-1493.61,-673720656,
1.84e-012,211.358,-2030.83,-1490.45,-1515871107,
1.845e-012,203.993,-2007.76,-1486.21,1936945738,
1.85e-012,213.667,-2026.82,-1480.54,1094795287,
1.855e-012,213.615,-2020.65,-1474.5,252644836,
1.86e-012,214.136,-2014.29,-1466.81,-589505615,
1.865e-012,218.623,-2017.74,-1458.78,-1431656066,
1.87e-012,225.796,-2036.26,-1458.96,2021160779,
1.875e-012,213.723,-2005.37,-1458.94,1179010328,
1.88e-012,208.441,-1979.31,-1446.39,336859877,
1.885e-012,218.249,-1997.5,-1439.5,-505290574,
1.89e-012,217.195,-1991.72,-1436.42,-1347441025,
1.895e-012,216.539,-1986.9,-1433.27,2105375820,
1.9e-012,209.354,-1961.71,-1426.45,1263225369,
1.905e-012,212.594,-1954.65,-1411.11,421074918,
1.91e-012,209.482,-1928.39,-1392.81,-421075533,
1.915e-012,229.178,-1967.49,-1381.55,-1263225984,
1.92e-012,226.097,-1957.3,-1379.24,-2105376435,
1.925e-012,236.856,-1985.94,-1380.37,1347440410,
1.93e-012,234.301,-1984.85,-1385.82,505289959,
1.935e-012,245.83,-2025.39,-1396.88,-336860492,
1.94e-012,231.981,-2000.2,-1407.09,-1179010943,
1.945e-012,241.039,-2032.51,-1416.24,-2021161394,
1.95e-012,236.103,-2035.15,-1431.5,1431655451,
1.955e-012,239.037,-2051.85,-1440.71,589505000,
1.96e-012,221.447,-2010.06,-1443.89,-252645451,
1.965e-012,225.046,-2015.4,-1440.02,-1094795902,
1.97e-012,217.189,-1987.86,-1432.57,-1936946353,
1.975e-012,220.148,-1983.04,-1420.19,1515870492,
1.98e-012,227.489,-1993.95,-1412.33,673720041,
1.985e-012,232.977,-2004.06,-1408.41,-168430410,
1.99e-012,228.144,-1988.85,-1405.55,-1010580861,
1.995e-012,228.998,-1982.02,-1396.54,-1852731312,
2e-012,223.526,-1958.53,-1387.03,1600085533,
2.005e-012,224.827,-1945.39,-1370.58,757935082,
2.01e-012,233.503,-1954.22,-1357.22,-84215369,
2.015e-012,234.443,-1952.46,-1353.05,-926365820,
2.02e-012,238.03,-1960.24,-1351.67,-1768516271,
2.025e-012,228.363,-1928.89,-1345.03,1684300574,
2.03e-012,234.478,-1939.92,-1340.43,842150123,
2.035e-012,239.83,-1947.05,-1333.87,-328,
2.04e-012,249.813,-1980.15,-1341.45,-842150779,
2.045e-012,246.757,-1977.82,-1346.94,-1684301230,
2.05e-012,245.756,-1976.78,-1348.46,1768515615,
2.055e-012,235.973,-1943.22,-1339.9,926365164,
2.06e-012,234.315,-1921.64,-1322.57,84214713,
2.065e-012,235.54,-1910.78,-1308.57,-757935738,
2.07e-012,250.588,-1949.58,-1308.9,-1600086189,
2.075e-012,231.107,-1898.56,-1307.69,1852730656,
2.08e-012,237.945,-1909.67,-1301.31,1010580205,
2.085e-012,239.054,-1912.45,-1301.25,168429754,
2.09e-012,230.308,-1889.42,-1300.59,-673720697,
2.095e-012,232.562,-1888.86,-1294.26,-1515871148,
2.1e-012,242.394,-1911.08,-1291.35,1936945697,
2.105e-012,245.428,-1915.65,-1288.16,1094795246,
2.11e-012,259.864,-1953.51,-1289.12,252644795,
2.115e-012,256.824,-1954.19,-1297.56,-589505656,
2.12e-012,253.382,-1946.8,-1298.97,-1431656107,
2.125e-012,248.308,-1932.94,-1298.09,2021160738,
2.13e-012,249.71,-1934.07,-1295.64,1179010287,
2.135e-012,236.724,-1895.17,-1289.93,336859836,
2.14e-012,245.733,-1911.45,-1283.18,-505290615,
2.145e-012,235.698,-1880.7,-1278.09,-1347441066,
2.15e-012,246.716,-1903.59,-1272.81,2105375779,
2.155e-012,251.51,-1914.18,-1271.14,1263225328,
2.16e-012,252.099,-1911.33,-1266.78,421074877,
2.165e-012,254.979,-1915.35,-1263.44,-421075574,
2.17e-012,255.096,-1908.69,-1256.49,-1263226025,
2.175e-012,267.504,-1941.07,-1257.14,-2105376476,
2.18e-012,279.462,-1982.95,-1268.45,1347440369,
2.185e-012,261.879,-1951.3,-1281.75,505289918,
2.19e-012,250.292,-1918.04,-1278.11,-336860533,
2.195e-012,252.345,-1920.33,-1275.16,-1179010984,
2.2e-012,242.446,-1892.03,-1272.17,-2021161435,
2.205e-012,251.23,-1905.57,-1263.25,1431655410,
2.21e-012,252.776,-1908.82,-1262.54,589504959,
2.215e-012,249.535,-1899.45,-1261.46,-252645492,
2.22e-012,249.251,-1887.55,-1250.29,-1094795943,
2.225e-012,262.531,-1919.84,-1248.62,-1936946394,
2.23e-012,255.251,-1895,-1242.4,1515870451,
2.235e-012,271.51,-1933.89,-1239.71,673720000,
2.24e-012,279.257,-1962.33,-1248.35,-168430451,
2.245e-012,278.265,-1972.61,-1261.16,-1010580902,
