step,T,Epot,Efull,NThroughZNThroughKlap
2900,194.666,-8605.06,-8199.61,
2910,195.311,-8623.27,-8216.48,
2920,196.974,-8644.11,-8233.85,
2930,198.888,-8666.8,-8252.56,
2940,199.871,-8689.16,-8272.87,
2950,196.685,-8701.66,-8292,
2960,188.589,-8700.04,-8307.25,
2970,179.249,-8689.29,-8315.95,
2980,170.422,-8671.77,-8316.81,
2990,165.646,-8657.62,-8312.61,
3000,164.316,-8648.3,-8306.06,
3010,166.207,-8643.51,-8297.34,
3020,165.883,-8633.65,-8288.15,
3030,168.373,-8632.1,-8281.42,
3040,172.509,-8632.41,-8273.11,
3050,179.033,-8643.41,-8270.53,
3060,187.16,-8662.74,-8272.93,
3070,192.586,-8682.62,-8281.5,
3080,198.481,-8707.22,-8293.83,
3090,200.585,-8727.66,-8309.89,
3100,198.727,-8740.62,-8326.71,
3110,197.908,-8748.53,-8336.33,
3120,194.192,-8749.98,-8345.52,
3130,191.613,-8749.89,-8350.8,
3140,191.376,-8754.25,-8355.65,
3150,194.565,-8765.75,-8360.51,
3160,197.185,-8778.54,-8367.85,
3170,197.484,-8788.64,-8377.33,
3180,193.925,-8789.26,-8385.36,
3190,191.112,-8788.7,-8390.66,
3200,189.88,-8789.86,-8394.38,
3210,189.825,-8788.08,-8392.71,
3220,190.222,-8786.71,-8390.52,
3230,191.025,-8787.41,-8389.55,
3240,194.328,-8795.06,-8390.32,
3250,198.123,-8806.94,-8394.29,
3260,199.068,-8814.05,-8399.43,
3270,197.845,-8816.31,-8404.24,
3280,194.396,-8812.82,-8407.94,
3290,188.784,-8801.49,-8408.29,
3300,182.303,-8783.51,-8403.81,
3310,178.657,-8762.19,-8390.08,
3320,176.306,-8742.09,-8374.89,
3330,176.406,-8724.78,-8357.37,
3340,175.677,-8706.56,-8340.66,
3350,175.208,-8688.38,-8323.46,
3360,177.313,-8675.49,-8306.18,
3370,181.06,-8668.07,-8290.97,
3380,185.717,-8666.42,-8279.61,
3390,187.583,-8661.34,-8270.64,
3400,186.321,-8650.66,-8262.59,
3410,187.175,-8638.85,-8249,
3420,188.236,-8628.08,-8236.03,
3430,190.445,-8621.14,-8224.48,
3440,195.449,-8622.92,-8215.84,
3450,197.907,-8622.08,-8209.88,
3460,197.259,-8615.67,-8204.82,
3470,195.46,-8605.72,-8198.62,
3480,193.759,-8594.65,-8191.09,
3490,194.557,-8588.39,-8183.17,
3500,195.482,-8583.28,-8176.13,
3510,200.198,-8583.3,-8166.33,
3520,206.413,-8590.63,-8160.72,
3530,211.966,-8601.33,-8159.85,
3540,213.262,-8606.12,-8161.94,
3550,211.13,-8604.2,-8164.46,
3560,206.388,-8592.6,-8162.74,
3570,201.357,-8577.02,-8157.63,
3580,197.413,-8560.22,-8149.05,
3590,192.652,-8538.62,-8137.37,
3600,189.289,-8517.07,-8122.82,
3610,189.115,-8495.65,-8101.76,
3620,187.363,-8470.62,-8080.38,
3630,186.47,-8446.34,-8057.96,
3640,185.26,-8420.31,-8034.45,
3650,186.31,-8399.45,-8011.41,
3660,185.665,-8375.21,-7988.51,
3670,183.455,-8346.99,-7964.89,
3680,181.263,-8317.03,-7939.5,
3690,183.282,-8295.06,-7913.32,
3700,185.06,-8274.67,-7889.22,
3710,186.648,-8249.57,-7860.82,
3720,189.383,-8228.43,-7833.99,
3730,193.567,-8212.84,-7809.68,
3740,202.023,-8210.98,-7790.21,
3750,213.678,-8223.67,-7778.63,
3760,224.46,-8243.55,-7776.05,
3770,229.497,-8258.07,-7780.07,
3780,231.406,-8268.9,-7786.93,
3790,232.115,-8277.76,-7794.31,
3800,232.12,-8285.05,-7801.59,
3810,233.367,-8290.41,-7804.35,
3820,234.472,-8297.43,-7809.07,
3830,233.854,-8301.5,-7814.43,
3840,230.637,-8298.59,-7818.22,
3850,227.946,-8294.57,-7819.81,
3860,230.338,-8299.62,-7819.88,
3870,236.253,-8316.27,-7824.21,
3880,237.684,-8327.83,-7832.78,
3890,232.935,-8324.48,-7839.33,
3900,232.979,-8328.85,-7843.6,
3910,238.056,-8340.68,-7844.86,
3920,245.959,-8363.3,-7851.02,
3930,252.348,-8389.22,-7863.64,
3940,255.747,-8412.23,-7879.57,
3950,255.248,-8428.34,-7896.72,
3960,251.152,-8435.17,-7912.07,
3970,245.163,-8433.77,-7923.15,
3980,243.534,-8438.72,-7931.5,
3990,250.08,-8466.02,-7945.15,
4000,258.979,-8502.15,-7962.75,
4010,264.288,-8531.32,-7980.87,
4020,262.536,-8547.84,-8001.03,
4030,259.384,-8559.68,-8019.44,
4040,257.551,-8573.18,-8036.76,
4050,254.185,-8580.33,-8050.92,
4060,246.596,-8573.28,-8059.67,
4070,240.674,-8563.68,-8062.41,
4080,244.524,-8575.29,-8066,
4090,250.927,-8595.13,-8072.5,
4100,252.964,-8608.28,-8081.41,
4110,254.412,-8617.73,-8087.85,
4120,253.681,-8622.47,-8094.11,
4130,254.008,-8629.6,-8100.56,
4140,255.002,-8638.5,-8107.39,
4150,256.241,-8649.89,-8116.2,
4160,257.465,-8662.64,-8126.4,
4170,258.317,-8676.61,-8138.59,
4180,258.03,-8688.28,-8150.86,
4190,257.709,-8699.65,-8162.9,
4200,257.355,-8709.56,-8173.54,
4210,258.735,-8718.59,-8179.7,
4220,260.191,-8729.86,-8187.94,
4230,259.047,-8734.53,-8194.99,
4240,259.205,-8740.69,-8200.82,
4250,261.49,-8752,-8207.37,
4260,260.168,-8757.16,-8215.28,
4270,256.683,-8754.92,-8220.3,
4280,252.262,-8747.44,-8222.03,
4290,248.75,-8739.57,-8221.48,
4300,248.645,-8736.84,-8218.96,
4310,250.993,-8735.18,-8212.41,
4320,254.359,-8737.43,-8207.65,
4330,259.088,-8746.26,-8206.64,
4340,260.625,-8751.74,-8208.91,
4350,258.201,-8748.12,-8210.35,
4360,254.527,-8739.18,-8209.05,
