step,T,Epot,Efull,SolventMolsThroughZ,SolventMolsThroughKlap,Klapan_Z,Solvent_Z,G,v_theor,v_pract
9.75e-013,199.156,-7577.02,-7229.29,0,0,-0.222086,0.136254,473.019,0.65984,0.660154
9.8e-013,213.33,-7613.66,-7241.18,0,0,-0.219036,0.149906,470.061,0.662198,0.662511
9.85e-013,205.482,-7614.13,-7255.35,0,0,-0.216022,0.164324,467.093,0.664541,0.664854
9.9e-013,198.773,-7609.72,-7262.65,0,0,-0.212817,0.178852,464.115,0.666869,0.667181
9.95e-013,199.127,-7616.19,-7268.5,0,0,-0.20924,0.193339,461.126,0.669182,0.669493
1e-012,193.809,-7611.61,-7273.21,0,0,-0.20516,0.207708,458.127,0.67148,0.671791
1.005e-012,197.612,-7619.03,-7273.99,0,0,-0.200339,0.222042,455.117,0.673763,0.674073
1.01e-012,200.29,-7624.42,-7274.7,0,0,-0.194571,0.236383,452.098,0.676031,0.67634
1.015e-012,194.709,-7614.55,-7274.58,0,0,-0.187872,0.250697,449.068,0.678284,0.678592
1.02e-012,197.269,-7616.37,-7271.93,0,0,-0.180438,0.265042,446.028,0.680522,0.680829
1.025e-012,193.875,-7608.39,-7269.87,0,0,-0.172626,0.279416,442.978,0.682745,0.683051
1.03e-012,183.509,-7582.93,-7262.52,0,0,-0.1648,0.293859,439.919,0.684952,0.685258
1.035e-012,180.457,-7565.66,-7250.58,0,0,-0.157207,0.308511,436.849,0.687144,0.687449
1.04e-012,179.204,-7553.01,-7240.11,0,0,-0.149981,0.323447,433.77,0.68932,0.689625
1.045e-012,175.003,-7532.01,-7226.45,0,0,-0.143123,0.338706,430.681,0.691481,0.691785
1.05e-012,184.313,-7533.2,-7211.38,0,0,-0.136532,0.354351,427.582,0.693627,0.69393
1.055e-012,194.725,-7538.55,-7198.55,0,0,-0.130133,0.370337,424.474,0.695757,0.696059
1.06e-012,197.793,-7534.73,-7189.37,0,0,-0.123893,0.386584,421.357,0.697872,0.698173
1.065e-012,203.793,-7538.63,-7182.8,0,0,-0.117826,0.403045,418.23,0.699971,0.700271
1.07e-012,210.744,-7549.77,-7181.8,0,0,-0.111993,0.419719,415.093,0.702054,0.702354
1.075e-012,200.01,-7528.93,-7179.71,0,0,-0.106453,0.436759,411.947,0.704122,0.70442
1.08e-012,197.645,-7516.34,-7171.25,0,0,-0.101167,0.454609,408.792,0.706174,0.706472
1.085e-012,203.597,-7520.82,-7165.33,0,0,-0.0960647,0.473375,405.628,0.70821,0.708507
1.09e-012,202.559,-7515.19,-7161.51,0,0,-0.0910836,0.492544,402.455,0.71023,0.710526
1.095e-012,209.091,-7523.32,-7158.24,0,0,-0.0861563,0.511743,399.273,0.712234,0.71253
1.1e-012,209.151,-7523.56,-7158.37,0,0,-0.0812644,0.530851,396.082,0.714223,0.714517
1.105e-012,211.207,-7520.91,-7152.13,0,0,-0.0763154,0.549971,392.882,0.716195,0.716489
1.11e-012,221.2,-7538.59,-7152.37,0,0,-0.0711056,0.569213,389.673,0.718151,0.718445
1.115e-012,218.404,-7534.51,-7153.17,0,0,-0.0654382,0.58846,386.456,0.720092,0.720384
1.12e-012,213.45,-7523.09,-7150.4,0,0,-0.0591373,0.60773,383.23,0.722016,0.722308
1.125e-012,218.461,-7529.7,-7148.25,0,0,-0.0521171,0.627099,379.995,0.723924,0.724215
1.13e-012,209.489,-7510.68,-7144.91,1,0,-0.0444318,-0.619173,376.752,0.725816,0.726106
1.135e-012,209.86,-7503.27,-7136.84,1,0,-0.0361559,-0.599566,373.5,0.727691,0.727981
1.14e-012,214.837,-7507.39,-7132.27,1,0,-0.0273971,-0.579734,370.24,0.729551,0.729839
1.145e-012,217.716,-7510.03,-7129.89,1,0,-0.0182365,-0.559738,366.972,0.731394,0.731681
1.15e-012,219.631,-7511.9,-7128.42,1,0,-0.00863806,-0.539607,363.696,0.733221,0.733507
1.155e-012,236.233,-7540.57,-7128.09,1,0,0.00150346,-0.519344,360.411,0.735031,0.735317
1.16e-012,229.702,-7534.7,-7133.63,1,0,0.0121921,-0.499143,357.118,0.736825,0.73711
1.165e-012,215.338,-7505.26,-7129.27,1,0,0.0234514,-0.479069,353.818,0.738602,0.738886
1.17e-012,216.867,-7498.72,-7120.06,1,0,0.0353348,-0.458943,350.509,0.740363,0.740646
1.175e-012,217.078,-7492.24,-7113.21,1,0,0.0477128,-0.438649,347.193,0.742107,0.74239
1.18e-012,225.673,-7499.49,-7105.45,1,0,0.0604075,-0.418056,343.868,0.743835,0.744116
1.185e-012,248.087,-7543.86,-7110.69,1,0,0.0732041,-0.397237,340.537,0.745546,0.745827
1.19e-012,245.139,-7550.87,-7122.84,1,0,0.0857874,-0.376543,337.197,0.74724,0.74752
1.195e-012,242.646,-7555.69,-7132.02,1,0,0.0980193,-0.356059,333.85,0.748918,0.749197
1.2e-012,237.998,-7554.92,-7139.36,1,0,0.109884,-0.335772,330.496,0.750579,0.750857
1.205e-012,231.122,-7540.72,-7137.17,1,0,0.121477,-0.315561,327.134,0.752223,0.7525
1.21e-012,237.359,-7546.72,-7132.28,1,0,0.132825,-0.295234,323.765,0.75385,0.754127
1.215e-012,245.765,-7562.81,-7133.69,1,0,0.143582,-0.274838,320.388,0.75546,0.755736
1.22e-012,243.309,-7561.73,-7136.9,1,0,0.153204,-0.254488,317.004,0.757054,0.757329
1.225e-012,255.076,-7587.75,-7142.38,1,0,0.161279,-0.234209,313.614,0.75863,0.758904
1.23e-012,255.599,-7600.57,-7154.29,1,0,0.1677,-0.21427,310.216,0.76019,0.760463
1.235e-012,236.195,-7572.18,-7159.78,1,0,0.172873,-0.19527,306.811,0.761732,0.762005
1.24e-012,221.281,-7539.18,-7152.81,1,0,0.177541,-0.179024,303.4,0.763258,0.76353
1.245e-012,217.709,-7520.49,-7140.36,1,0,0.182364,-0.170785,299.982,0.764766,0.765037
1.25e-012,225.023,-7523.31,-7130.41,1,0,0.187752,-0.175472,296.556,0.766258,0.766528
1.255e-012,232.357,-7523.17,-7117.46,1,0,0.193859,-0.189204,293.125,0.767732,0.768001
1.26e-012,232.001,-7511.66,-7106.58,1,0,0.200508,-0.206548,289.687,0.769189,0.769457
1.265e-012,231.516,-7499.32,-7095.08,1,0,0.20721,-0.225195,286.242,0.770629,0.770896
1.27e-012,240.257,-7505.72,-7086.22,1,0,0.213459,-0.244402,282.791,0.772051,0.772318
1.275e-012,239.174,-7499.17,-7081.56,1,0,0.218955,-0.263831,279.333,0.773457,0.773722
1.28e-012,235.427,-7483.69,-7072.62,1,0,0.223588,-0.283398,275.87,0.774845,0.77511
1.285e-012,253.301,-7510.73,-7068.46,1,0,0.227177,-0.303125,272.4,0.776215,0.776479
1.29e-012,254.454,-7516.57,-7072.28,1,0,0.22942,-0.322803,268.924,0.777569,0.777832
