step,T,Epot,Efull,
2.76e-012,166.212,-4976.87,-2062.29,
2.77e-012,159.793,-4835.92,-2033.9,
2.78e-012,166.353,-4930.09,-2013.05,
2.79e-012,164.797,-4843.03,-1953.26,
2.8e-012,160.908,-4746.33,-1924.77,
2.81e-012,171.412,-4901.34,-1895.58,
2.82e-012,169.371,-4837.85,-1867.89,
2.83e-012,167.955,-4815.4,-1870.25,
2.84e-012,175.946,-4946.24,-1860.97,
2.85e-012,165.823,-4724.98,-1817.21,
2.86e-012,165.31,-4685.35,-1786.6,
2.87e-012,176.111,-4838.67,-1750.51,
2.88e-012,169.774,-4704.88,-1727.84,
2.89e-012,175.08,-4797.63,-1727.54,
2.9e-012,177.366,-4812.04,-1701.87,
2.91e-012,167.827,-4608.13,-1665.24,
2.92e-012,176.52,-4746.61,-1651.28,
2.93e-012,175.538,-4690.36,-1612.24,
2.94e-012,169.775,-4546.69,-1569.63,
2.95e-012,182.731,-4767.15,-1562.9,
2.96e-012,177.809,-4654.94,-1537,
2.97e-012,172.194,-4526.2,-1506.74,
2.98e-012,184.004,-4725.7,-1499.13,
2.99e-012,177.405,-4571.28,-1460.44,
3e-012,177.163,-4556.28,-1449.68,
3.01e-012,188.137,-4751.76,-1452.72,
3.02e-012,178.543,-4558.81,-1428.01,
3.03e-012,183.436,-4653.67,-1437.06,
3.04e-012,189.919,-4773.73,-1443.43,
3.05e-012,174.293,-4464.5,-1408.22,
3.06e-012,180.398,-4531.5,-1368.16,
3.07e-012,183.508,-4531.81,-1313.94,
3.08e-012,174.375,-4306.66,-1248.93,
3.09e-012,187.16,-4503.13,-1221.22,
3.1e-012,185.729,-4444.63,-1187.81,
3.11e-012,177.855,-4263.45,-1144.71,
3.12e-012,190.818,-4472.49,-1126.44,
3.13e-012,188.898,-4405.78,-1093.39,
3.14e-012,183.582,-4291.87,-1072.7,
3.15e-012,190.94,-4403.24,-1055.04,
3.16e-012,189.332,-4338.95,-1018.95,
3.17e-012,188.697,-4317.09,-1008.22,
3.18e-012,197.455,-4474.01,-1011.58,
3.19e-012,184.725,-4205.2,-965.998,
3.2e-012,191.156,-4301.31,-949.33,
3.21e-012,197.245,-4387.02,-928.259,
3.22e-012,188.987,-4204.63,-890.69,
3.23e-012,194.328,-4292.6,-884.995,
3.24e-012,200.37,-4381.28,-867.736,
3.25e-012,189.703,-4177.15,-850.642,
3.26e-012,196.914,-4295.19,-842.238,
3.27e-012,197.329,-4264.15,-803.937,
3.28e-012,192.137,-4141.29,-772.113,
3.29e-012,203.779,-4346.67,-773.34,
3.3e-012,199.645,-4269.05,-768.212,
3.31e-012,191.911,-4102.56,-737.347,
3.32e-012,202.915,-4275.46,-717.281,
3.33e-012,197.03,-4132.32,-677.341,
3.34e-012,198.013,-4131.38,-659.159,
3.35e-012,206.197,-4263.33,-647.612,
3.36e-012,195.422,-4037.3,-610.508,
3.37e-012,197.469,-4036.54,-573.85,
3.38e-012,208.714,-4197.54,-537.676,
3.39e-012,198.513,-3985.49,-504.495,
3.4e-012,203.536,-4061.9,-492.838,
3.41e-012,212.239,-4205.92,-484.244,
3.42e-012,200.331,-3972.18,-459.32,
3.43e-012,205.956,-4051.9,-440.406,
3.44e-012,208.731,-4055.86,-395.702,
3.45e-012,204.646,-3966.3,-377.76,
3.46e-012,213.246,-4126.28,-386.947,
3.47e-012,212.448,-4098.7,-373.362,
3.48e-012,211.492,-4099.02,-390.449,
3.49e-012,213.719,-4147.77,-400.144,
3.5e-012,207.837,-4000.47,-355.984,
3.51e-012,207.714,-3978.51,-336.185,
3.52e-012,217.353,-4139.4,-328.055,
3.53e-012,208.794,-3955.26,-293.997,
3.54e-012,209.421,-3950.95,-278.688,
3.55e-012,222.615,-4171.56,-267.939,
3.56e-012,212.4,-3993.24,-268.741,
3.57e-012,214.754,-4040.72,-274.948,
3.58e-012,213.937,-3982.42,-230.979,
3.59e-012,207.452,-3810.94,-173.208,
3.6e-012,218.704,-3985.74,-150.694,
3.61e-012,217.01,-3926.76,-121.424,
3.62e-012,215.101,-3874.96,-103.089,
3.63e-012,222.112,-4001.97,-107.161,
3.64e-012,216.381,-3851.7,-57.4044,
3.65e-012,215.986,-3816.11,-28.7297,
3.66e-012,227.382,-4009.31,-22.0962,
3.67e-012,219.823,-3856.28,-1.6156,
3.68e-012,216.088,-3772.22,16.9484,
3.69e-012,225.715,-3905.26,52.7194,
3.7e-012,222.722,-3818.29,87.2094,
3.71e-012,222.055,-3814.63,79.1693,
3.72e-012,228.033,-3890.36,108.27,
3.73e-012,221.468,-3745.99,137.514,
3.74e-012,228.117,-3875.08,125.026,
3.75e-012,234.574,-3990.57,122.762,
3.76e-012,226.127,-3850.15,115.046,
3.77e-012,227.572,-3874.28,116.254,
3.78e-012,221.227,-3704.77,174.512,
3.79e-012,219.311,-3609.77,235.914,
3.8e-012,228.516,-3736.17,270.928,
3.81e-012,230.98,-3746.09,304.219,
3.82e-012,230.155,-3736.84,299.001,
3.83e-012,237.058,-3880.71,276.167,
3.84e-012,230.66,-3737.84,306.856,
3.85e-012,229.468,-3714.83,308.96,
3.86e-012,237.704,-3843.4,324.806,
3.87e-012,230.449,-3683.99,356.999,
3.88e-012,228.794,-3637.01,374.962,
3.89e-012,234.535,-3691.11,421.54,
3.9e-012,228.78,-3543.28,468.452,
3.91e-012,238.403,-3695.74,484.727,
3.92e-012,246.496,-3852.66,469.734,
3.93e-012,236.644,-3702.9,446.727,
3.94e-012,236.695,-3697.65,452.871,
3.95e-012,238.457,-3689.18,492.223,
3.96e-012,231.831,-3533.5,531.727,
3.97e-012,240.318,-3656.21,557.84,
3.98e-012,236.881,-3545.97,607.802,
3.99e-012,235.192,-3485.28,638.884,
4e-012,247.084,-3684.77,647.919,
4.01e-012,241.795,-3568.86,671.076,
4.02e-012,237.761,-3492.49,676.709,
4.03e-012,248.681,-3665.76,694.936,
4.04e-012,236.763,-3411.54,740.175,
4.05e-012,239.619,-3436.26,765.536,
4.06e-012,244.845,-3480.46,812.971,
4.07e-012,241.625,-3384.59,852.376,
4.08e-012,250.679,-3543.98,851.749,
4.09e-012,247.988,-3471.02,877.52,
4.1e-012,240.677,-3310.83,909.517,
4.11e-012,247.501,-3406.87,933.138,
4.12e-012,252.699,-3462.53,968.621,
4.13e-012,245.012,-3316.93,979.418,
4.14e-012,250.479,-3399.85,992.37,
4.15e-012,249.348,-3332.03,1040.37,
4.16e-012,241.759,-3157.73,1081.59,
4.17e-012,251.237,-3262.81,1142.69,
4.18e-012,246.176,-3112.74,1204.03,
4.19e-012,250.606,-3174.71,1219.75,
4.2e-012,254.885,-3216.85,1252.63,
4.21e-012,256.816,-3234.56,1268.78,
4.22e-012,259.143,-3313.11,1231.03,
4.23e-012,257.789,-3281.14,1239.28,
4.24e-012,256.664,-3246.93,1253.74,
4.25e-012,258.059,-3289,1236.14,
4.26e-012,264.085,-3381.23,1249.58,
4.27e-012,260.937,-3360.37,1215.24,
4.28e-012,260.347,-3367.69,1197.57,
4.29e-012,255.635,-3228.83,1253.8,
4.3e-012,247.989,-3029.59,1318.97,
4.31e-012,261.918,-3252.67,1340.14,
4.32e-012,259.982,-3173.88,1384.99,
4.33e-012,256.774,-3104.7,1397.91,
4.34e-012,266.225,-3232.95,1435.39,
4.35e-012,255.168,-3002.05,1472.39,
4.36e-012,262.017,-3108.96,1485.6,
4.37e-012,265.669,-3145,1513.58,
4.38e-012,263.283,-3069.88,1546.87,
4.39e-012,272.231,-3254.81,1518.83,
4.4e-012,271.997,-3274.81,1494.74,
4.41e-012,260.303,-3037.9,1526.59,
4.42e-012,266.821,-3138.17,1540.61,
4.43e-012,271.298,-3188.85,1568.44,
4.44e-012,267.729,-3114.53,1580.17,
4.45e-012,273.808,-3257.73,1543.58,
4.46e-012,270.787,-3179.91,1568.43,
4.47e-012,263.546,-3038.96,1582.4,
4.48e-012,271.205,-3146.73,1608.93,
4.49e-012,266.986,-3015.04,1666.64,
4.5e-012,271.189,-3070.36,1685.03,
4.51e-012,273.573,-3089.87,1707.32,
4.52e-012,272.303,-3052.5,1722.41,
4.53e-012,271.648,-3044.27,1719.16,
4.54e-012,280.959,-3189.14,1737.55,
4.55e-012,269.945,-2960.68,1772.88,
