step,T,Epot,Efull,
8.66e-012,300.646,-6928.66,-1941.7,
8.68e-012,304.996,-7020.06,-1960.96,
8.7e-012,302.897,-6988.1,-1963.81,
8.72e-012,307.46,-7086.34,-1986.36,
8.74e-012,294.825,-6864.53,-1974.13,
8.76e-012,292.93,-6842.77,-1983.8,
8.78e-012,287.146,-6684.82,-1921.8,
8.8e-012,301.167,-6971.77,-1976.18,
8.82e-012,304.595,-7008.7,-1956.26,
8.84e-012,305.221,-7051.78,-1988.94,
8.86e-012,298.325,-6905.66,-1957.21,
8.88e-012,300.047,-6921.98,-1944.96,
8.9e-012,300.784,-6964.16,-1974.93,
8.92e-012,295.909,-6847.78,-1939.4,
8.94e-012,302.403,-6929.9,-1913.81,
8.96e-012,305.891,-7012.18,-1938.24,
8.98e-012,301.899,-6930.65,-1922.92,
9e-012,304.734,-7006.04,-1951.27,
9.02e-012,300.085,-6913.6,-1935.96,
9.04e-012,301.035,-6939.5,-1946.09,
9.06e-012,302.461,-6935.37,-1918.31,
9.08e-012,303.764,-6960.07,-1921.4,
9.1e-012,303.234,-6981.12,-1951.25,
9.12e-012,294.607,-6822.75,-1935.98,
9.14e-012,294.106,-6786.08,-1907.6,
9.16e-012,294.868,-6820.57,-1929.47,
9.18e-012,301.716,-6955.46,-1950.76,
9.2e-012,302.058,-6948.78,-1938.41,
9.22e-012,296.342,-6864.73,-1949.18,
9.24e-012,304.552,-7035.02,-1983.28,
9.26e-012,297.511,-6890.14,-1955.19,
9.28e-012,293.319,-6795.66,-1930.25,
9.3e-012,301.821,-6958.15,-1951.71,
9.32e-012,298.423,-6900.18,-1950.11,
9.34e-012,301.968,-6958.15,-1949.28,
9.36e-012,302.034,-6951.87,-1941.89,
9.38e-012,303.535,-6971.93,-1937.06,
9.4e-012,294.572,-6801.99,-1915.79,
9.42e-012,298.745,-6922.53,-1967.12,
9.44e-012,301.668,-6969.97,-1966.06,
9.46e-012,292.519,-6806.51,-1954.37,
9.48e-012,292.509,-6789.81,-1937.84,
9.5e-012,298.908,-6913.97,-1955.84,
9.52e-012,298.408,-6888.61,-1938.78,
9.54e-012,297.583,-6878.36,-1942.21,
9.56e-012,303.334,-6985.65,-1954.11,
9.58e-012,301.734,-6960.48,-1955.49,
9.6e-012,304.504,-6993.11,-1942.17,
9.62e-012,305.504,-7073.74,-2006.22,
9.64e-012,297.894,-6886.27,-1944.97,
9.66e-012,306.584,-7093,-2007.56,
9.68e-012,299.831,-6972.65,-1999.22,
9.7e-012,298.61,-6982.14,-2028.97,
9.72e-012,297.721,-6933.79,-1995.35,
9.74e-012,292.792,-6842.7,-1986.03,
9.76e-012,297.852,-6902.83,-1962.23,
9.78e-012,296.957,-6924.5,-1998.75,
9.8e-012,297.269,-6901.94,-1971,
