step,T,sn_vel[0],sn_vel[1],sn_vel[2],sn_crd[0],sn_crd[1],sn_crd[2],target_crd[0],target_crd[1],target_crd[2]
2110,104.649,0,0,0,0,0,0.5,-0.00199251,0.0728956,0.00523397
2120,137.424,0,0,0,0,0,0.5,-0.00174482,0.0728129,0.00478319
2130,133.056,0,0,0,0,0,0.5,-0.00131722,0.0723602,0.00376723
2140,114.987,0,0,0,0,0,0.5,-0.00118527,0.0717544,0.00277837
2150,126.644,0,0,0,0,0,0.5,-0.000805031,0.0715697,0.002114
2160,107.736,0,0,0,0,0,0.5,-0.000180245,0.0716906,0.00174703
2170,124.781,0,0,0,0,0,0.5,-0.000217818,0.0717848,0.00171459
2180,123.144,0,0,0,0,0,0.5,-0.000893854,0.0712815,0.00189386
2190,114.508,0,0,0,0,0,0.5,-0.00120945,0.0705518,0.00175966
2200,136.09,0,0,0,0,0,0.5,-0.000966017,0.0698664,0.00130702
2210,127.588,0,0,0,0,0,0.5,-0.000556944,0.0695916,0.00125638
2220,124.152,0,0,0,0,0,0.5,-0.000342167,0.0694482,0.00205255
2230,120.556,0,0,0,0,0,0.5,-0.000398989,0.0694737,0.00293989
2240,143.699,0,0,0,0,0,0.5,-0.000123273,0.0694334,0.00315936
2250,143.933,0,0,0,0,0,0.5,0.000472762,0.0693198,0.00298899
2260,119.904,0,0,0,0,0,0.5,0.000538613,0.0689832,0.00337828
2270,155.003,0,0,0,0,0,0.5,0.000420321,0.068896,0.0041304
2280,146.889,0,0,0,0,0,0.5,0.00112909,0.0691143,0.00449003
2290,122.01,0,0,0,0,0,0.5,0.00163925,0.0695529,0.0042651
2300,158.015,0,0,0,0,0,0.5,0.000894287,0.0699801,0.00407629
2310,128.018,0,0,0,0,0,0.5,-7.64213e-005,0.0705158,0.00407529
2320,120.39,0,0,0,0,0,0.5,-0.000390545,0.0706344,0.00426274
2330,141.412,0,0,0,0,0,0.5,-0.000472651,0.0699199,0.00448916
2340,131.159,0,0,0,0,0,0.5,-0.000226265,0.0686473,0.00465024
2350,149.804,0,0,0,0,0,0.5,0.000251409,0.0675558,0.00431181
2360,150.204,0,0,0,0,0,0.5,0.000400322,0.0667796,0.00366132
2370,139.803,0,0,0,0,0,0.5,0.000434399,0.0662868,0.00336454
2380,138.617,0,0,0,0,0,0.5,0.00101495,0.0659901,0.00418647
2390,140.792,0,0,0,0,0,0.5,0.00152053,0.0657581,0.005435
2400,128.811,0,0,0,0,0,0.5,0.00154956,0.0652742,0.00596401
2410,138.63,0,0,0,0,0,0.5,0.00139374,0.0646552,0.00548351
2420,146.131,0,0,0,0,0,0.5,0.00134377,0.0642543,0.00511796
2430,133.227,0,0,0,0,0,0.5,0.00128723,0.0643829,0.0052873
2440,135.659,0,0,0,0,0,0.5,0.00137796,0.0650314,0.00585482
2450,163.755,0,0,0,0,0,0.5,0.00116731,0.0659402,0.00627997
2460,137.207,0,0,0,0,0,0.5,0.000451289,0.0664864,0.00639422
2470,130.245,0,0,0,0,0,0.5,-0.00030584,0.0662013,0.00604096
2480,153.234,0,0,0,0,0,0.5,-0.000401601,0.0653252,0.00555487
2490,126.285,0,0,0,0,0,0.5,2.28258e-005,0.0646792,0.00513565
2500,128.058,0,0,0,0,0,0.5,0.000704685,0.0646312,0.00511596
2510,153.986,0,0,0,0,0,0.5,0.00120523,0.0647325,0.0054994
2520,139.179,0,0,0,0,0,0.5,0.00110597,0.0646405,0.00608644
2530,148.305,0,0,0,0,0,0.5,0.000743589,0.0645929,0.0066376
2540,142.28,0,0,0,0,0,0.5,0.00092894,0.0646506,0.00743882
2550,128.833,0,0,0,0,0,0.5,0.00131558,0.0643908,0.00833995
2560,146.358,0,0,0,0,0,0.5,0.00113494,0.0634194,0.00915861
2570,139.504,0,0,0,0,0,0.5,0.000648418,0.0621512,0.00973517
2580,128.699,0,0,0,0,0,0.5,0.000665753,0.0614719,0.0103623
2590,158.658,0,0,0,0,0,0.5,0.00112613,0.0617185,0.0107861
2600,146.93,0,0,0,0,0,0.5,0.00135609,0.0622794,0.0110236
2610,138.499,0,0,0,0,0,0.5,0.000936308,0.0626033,0.0109235
2620,158.012,0,0,0,0,0,0.5,0.000242943,0.0628,0.0106935
2630,157.352,0,0,0,0,0,0.5,-2.75903e-005,0.0630689,0.0103727
2640,128.669,0,0,0,0,0,0.5,-0.000104359,0.0634262,0.0102638
2650,136.202,0,0,0,0,0,0.5,-0.000543368,0.0637307,0.0104297
2660,152.385,0,0,0,0,0,0.5,-0.000737059,0.063746,0.0110115
2670,144.488,0,0,0,0,0,0.5,-0.000149647,0.0634238,0.0115651
2680,160.475,0,0,0,0,0,0.5,0.000157025,0.0634261,0.0118465
2690,165.64,0,0,0,0,0,0.5,8.90193e-005,0.0640488,0.0120068
2700,148.518,0,0,0,0,0,0.5,0.000604808,0.0645463,0.0123053
2710,151.211,0,0,0,0,0,0.5,0.00146953,0.0639329,0.0124441
2720,150.195,0,0,0,0,0,0.5,0.00141194,0.0626099,0.0121315
2730,144.319,0,0,0,0,0,0.5,0.000851202,0.0620317,0.0114588
2740,175.242,0,0,0,0,0,0.5,0.000325851,0.0629786,0.0106013
2750,162.457,0,0,0,0,0,0.5,-0.000143349,0.064327,0.00978145
2760,160.427,0,0,0,0,0,0.5,-0.000602001,0.0650406,0.00908173
2770,166.354,0,0,0,0,0,0.5,-0.00059485,0.0652595,0.00871007
2780,145.939,0,0,0,0,0,0.5,-0.000423098,0.0655047,0.00853936
2790,166.114,0,0,0,0,0,0.5,-0.00039656,0.0655657,0.00853302
2800,170.735,0,0,0,0,0,0.5,-0.000755314,0.0654245,0.00855807
2810,171.654,0,0,0,0,0,0.5,-0.000832184,0.0651718,0.00898854
2820,176.485,0,0,0,0,0,0.5,-0.000293826,0.0650882,0.00961017
2830,180.088,0,0,0,0,0,0.5,0.00037519,0.0654845,0.0103112
2840,188.805,0,0,0,0,0,0.5,0.000393992,0.0662972,0.0108149
2850,177.511,0,0,0,0,0,0.5,0.00028722,0.0668301,0.0113765
2860,163.768,0,0,0,0,0,0.5,0.000268781,0.0668195,0.0116464
2870,173.821,0,0,0,0,0,0.5,-3.20125e-005,0.0665206,0.0114043
