step,T,sn_vel[0],sn_vel[1],sn_vel[2],sn_crd[0],sn_crd[1],sn_crd[2],target_crd[0],target_crd[1],target_crd[2]
1880,123.822,1.45903e-005,-0.0174068,-0.200919,-5.14959e-005,-0.00519431,0.434688,-0.00206997,0.0696999,0.00516393
1890,100.935,-5.15431e-006,-0.0172603,-0.199295,-5.14722e-005,-0.00528069,0.43369,-0.00173815,0.0691206,0.00527298
1900,97.465,-2.54226e-005,-0.0176705,-0.204101,-5.15482e-005,-0.00536788,0.432684,-0.00174274,0.0688978,0.00517993
1910,106.298,-4.63909e-005,-0.0182026,-0.210318,-5.17276e-005,-0.00545761,0.431647,-0.00149121,0.0694434,0.00490542
1920,99.9212,-6.85047e-005,-0.0185615,-0.214543,-5.20129e-005,-0.00554929,0.430587,-0.000752683,0.0701272,0.00464001
1930,112.921,-9.32074e-005,-0.0188702,-0.218186,-5.24169e-005,-0.00564304,0.429504,-0.000391014,0.0702082,0.00494448
1940,103.461,-0.000120383,-0.019144,-0.221422,-5.29485e-005,-0.00573785,0.428407,-0.00121541,0.0701895,0.00559182
1950,123.046,-0.000147751,-0.0192502,-0.222713,-5.36209e-005,-0.00583412,0.427294,-0.00206466,0.0707813,0.00620774
1960,116.337,-0.000171725,-0.0190612,-0.220597,-5.44201e-005,-0.00592985,0.426186,-0.0020572,0.0716579,0.0062945
1970,99.3807,-0.000197278,-0.0193869,-0.224447,-5.5341e-005,-0.00602564,0.425077,-0.00191151,0.0720063,0.00620622
1980,115.504,-0.000220614,-0.0197571,-0.228818,-5.63887e-005,-0.00612373,0.423941,-0.0023334,0.0717416,0.00602833
