frame(num)	angle (degree)
908	7,903111
909	4,385214
910	2,156856
911	6,707972
912	3,216194
913	7,715537
914	2,79176
915	7,488075
916	5,331493
917	4,016686
918	7,368334
919	2,730293
920	10,585726
921	6,058578
922	8,180694
923	5,105303
924	10,319994
925	1,863196
926	9,520929
927	4,349606
928	7,870981
929	2,375617
930	6,016107
931	4,407401
932	6,177269
933	0,498501
934	6,463049
935	9,933175
936	2,972626
937	6,91157
938	4,155155
939	3,66089
940	6,742383
941	7,961044
942	9,380309
943	4,49806
944	9,933314
945	8,466496
946	6,688795
947	3,183031
948	0,606518
949	10,710849
950	2,151314
951	10,870077
952	5,219995
953	9,255294
954	5,12262
955	0,588174
956	8,169743
957	6,337132
958	8,777963
959	6,459256
960	7,347588
961	7,408382
962	5,808495
963	4,382801
964	7,144628
965	11,810594
966	3,409672
967	11,237363
968	3,631624
969	4,111708
970	9,92672
971	8,860468
972	9,059309
973	7,101195
974	9,912009
975	4,646039
976	7,762151
977	2,281133
978	8,357829
979	6,156637
980	4,841407
981	5,598007
982	7,327265
